q,signature,orbits,orbits_deg5,orbits_deg6
11,17 14 13 12 12 10 10 10 8 8 7,21,3,18
11,17 14 13 12 12 12 11 10 7 7 6,11,2,9
11,17 14 13 13 12 11 10 10 9 6 6,13,1,12
11,17 14 14 12 11 11 11 10 8 8 5,6,3,3
11,17 14 14 13 13 10 9 8 8 8 7,6,2,4
11,17 14 14 14 11 10 10 9 8 7 7,5,0,5
11,17 14 14 14 13 11 11 9 8 6 4,3,0,3
11,17 15 12 12 12 11 10 10 10 7 5,6,0,6
11,17 15 13 11 11 11 10 9 8 8 8,16,5,11
11,17 15 13 12 10 10 10 9 9 9 7,14,3,11
11,17 15 13 12 12 12 11 9 9 7 4,2,2,0
11,17 15 14 12 12 10 9 9 9 8 6,14,4,10
11,17 15 14 12 12 11 11 10 10 6 3,1,0,1
11,17 15 14 13 11 11 11 10 7 6 6,4,0,4
11,17 15 14 13 12 11 10 9 8 7 5,5,1,4
11,17 15 14 13 12 12 12 10 8 4 4,2,0,2
11,17 15 14 14 13 10 10 10 7 6 5,3,0,3
11,17 15 14 14 14 12 10 8 6 6 5,2,1,1
11,17 15 15 14 11 10 10 10 8 7 4,5,1,4
11,17 15 15 14 12 12 8 8 7 7 6,3,0,3
11,17 15 15 14 13 10 9 8 8 6 6,2,1,1
11,17 16 12 12 12 11 10 10 10 7 4,5,0,5
11,17 16 13 12 11 11 11 10 9 6 5,12,3,9
11,17 16 13 12 12 12 10 9 8 6 6,10,2,8
11,17 16 13 13 12 12 9 8 7 7 7,4,1,3
11,17 16 14 12 11 9 9 9 8 8 8,6,0,6
11,17 16 14 13 12 10 10 10 9 5 5,2,0,2
11,17 16 14 13 12 11 10 9 8 7 4,13,1,12
11,17 16 14 14 10 10 9 9 8 8 6,3,0,3
11,17 16 14 14 12 12 11 10 7 5 3,2,0,2
11,17 16 14 14 13 10 10 10 7 6 4,4,0,4
11,17 16 14 14 14 12 10 8 6 6 4,2,1,1
11,17 16 15 12 11 10 10 8 8 8 6,5,1,4
11,17 16 15 12 12 11 10 10 10 7 1,1,0,1
11,17 16 15 12 12 12 9 8 8 7 5,1,0,1
11,17 16 15 14 14 12 10 8 6 6 3,1,0,1
11,17 16 15 14 14 13 8 7 7 7 3,2,0,2
11,17 16 15 14 14 14 10 8 6 6 1,1,0,1
11,17 16 15 15 12 11 10 9 6 6 4,2,0,2
11,17 16 16 12 12 12 9 8 8 7 4,1,0,1
11,17 16 16 13 12 10 10 10 9 5 3,3,0,3
11,17 16 16 14 11 11 10 10 7 5 4,1,1,0
11,17 16 16 14 12 10 8 8 8 7 5,2,1,1
11,17 16 16 14 13 12 12 8 8 3 2,1,0,1
11,17 16 16 16 13 11 10 8 8 4 2,1,0,1
11,17 17 13 12 12 12 10 9 8 6 5,2,0,2
11,17 17 14 12 12 10 9 9 9 8 4,2,0,2
11,17 17 14 13 12 11 8 8 8 7 6,2,0,2
11,17 17 16 12 11 10 10 8 8 8 4,1,0,1
11,17 17 16 14 13 11 9 8 6 5 5,2,1,1
11,17 17 16 15 12 11 10 9 6 4 4,2,1,1
11,17 17 16 16 13 10 8 7 7 6 4,2,1,1
11,17 17 17 17 17 6 6 6 6 6 6,1,0,1
11,18 13 12 12 11 11 11 10 10 9 4,7,2,5
11,18 13 12 12 12 11 10 9 8 8 8,18,3,15
11,18 14 12 12 12 11 10 9 9 9 5,5,0,5
11,18 14 13 11 11 11 10 10 10 8 5,8,0,8
