q,pool,n,grad_frac,curl_frac,order_agreement,resid_opt,resid_end_unfitted,resid_end_scaled,slope_psiopt_vs_psiend,R2_half_log_phi,ceiling_maxN,order_agreement_end,R2_phi_tilde_fixed,fitted_m2_over_M,addendum_m2_over_M,order::M  (= any function of max fiber),order::log maxN,order::(1/2) log phi,order::phi~ = M - 0.0858 m2,order::(1/2) log phi + fitted m2,order::psi_opt (least squares),phi_blind_ordered_pairs,phi_violating_ordered_pairs
11,exhaustive genus 2,296,0.9958658105100727,0.09083659756461529,0.9831424644983967,0.09083659756461529,0.13867534007130236,0.13440231591403443,0.9666765212468803,0.9901056639228905,0.9902252015915166,0.824942739349519,0.9717965601249126,0.4018019535045803,-0.08578643762690485,0.824942739349519,0.824942739349519,0.824942739349519,0.8388914338066881,0.9569170865781035,0.9831424644983967,14798,488
13,exhaustive genus 2,698,0.9963668385656137,0.08516526878231724,0.9865078745174777,0.08516526878231724,0.12423558945890503,0.12115034265547468,0.9730284379951831,0.9925214748181724,0.9926921365723002,0.8331613587499435,0.9792536029976737,0.38345345731246644,-0.08578643762690485,0.8331613587499435,0.8331613587499435,0.8331613587499435,0.8484581896215052,0.9583931133428981,0.9865078745174777,79296,1872
17,sampled genus 2,600,0.9963271144610185,0.08562873927473522,0.9904396215915414,0.08562873927473522,0.13096769012593792,0.12923711209728073,0.9790485092205282,0.9905608392677389,0.9906796845208269,0.8355370061213133,0.9827200583317834,0.5240181106690652,-0.08578643762690485,0.8355370061213133,0.8355370061213133,0.8355370061213133,0.8525542570951586,0.956661101836394,0.9904396215915414,57454,1654
19,sampled genus 2,600,0.9961992987210575,0.08710314131920688,0.9905620478575403,0.08710314131920688,0.13985374253288854,0.13893284098166334,0.9840777521569084,0.9881950593446099,0.988357335089931,0.8318697829716194,0.9799363116714134,0.7119464505631411,-0.08578643762690485,0.8318697829716194,0.8318697829716194,0.8318697829716194,0.8508848080133556,0.9546688925987757,0.9905620478575403,58698,1728
23,sampled genus 2,600,0.9965554829054097,0.08292870125092978,0.9904563160823595,0.08292870125092978,0.1272852380119579,0.12653039226623955,0.9862382153188377,0.9908039867825783,0.9908574393017947,0.8560155815247635,0.9862996550185743,0.7167722833978327,-0.08578643762690485,0.8560155815247635,0.8560155815247635,0.8560155815247635,0.8722036727879799,0.9610740122426266,0.9904563160823595,49514,2234
13,sampled genus 2-4,600,0.9962666298406132,0.08632961407319402,0.9848469671675014,0.08632961407319402,0.1264956576237713,0.12329647869596655,0.9723027540144118,0.9921925935507248,0.9923164954881852,0.8439398998330551,0.98136355673189,0.40960513951588745,-0.08578643762690485,0.8439398998330551,0.8439398998330551,0.8439398998330551,0.8589593767390095,0.9610072342793545,0.9848469671675014,54406,1682
