q,signature,pencils,distinct_isogeny_multisets
13,20 17 17 16 14 14 13 13 11 10 9 8 7,5,5
13,20 17 17 16 15 14 12 12 12 12 10 7 5,4,4
13,20 17 17 16 16 15 14 11 10 9 8 8 8,2,2
13,20 17 17 17 16 14 12 12 11 10 8 8 7,2,2
13,20 18 15 14 14 13 13 11 11 11 11 10 8,7,7
13,20 18 15 14 14 14 13 13 13 10 9 8 8,4,4
13,20 18 15 14 14 14 14 13 11 10 10 9 7,5,5
13,20 18 15 15 14 14 12 12 12 12 9 9 7,2,2
13,20 18 16 14 13 13 13 12 12 12 11 9 6,2,2
13,20 18 16 14 14 13 13 12 12 11 11 8 7,11,11
13,20 18 16 15 14 14 13 12 11 11 11 9 5,6,6
13,20 18 16 15 14 14 13 13 12 10 10 8 6,3,3
13,20 18 16 15 14 14 14 13 13 11 9 6 6,2,2
13,20 18 16 15 15 14 12 11 10 10 10 9 9,4,4
13,20 18 16 15 15 14 13 13 12 12 8 8 5,4,4
13,20 18 16 15 15 14 14 12 12 11 10 7 5,3,3
13,20 18 16 16 14 13 12 12 11 10 9 9 9,5,5
13,20 18 16 16 15 14 12 12 11 11 8 8 8,3,3
13,20 18 16 16 15 15 12 12 12 11 9 7 6,2,2
13,20 18 16 16 15 15 14 12 12 10 9 8 4,3,3
13,20 18 16 16 16 15 13 12 10 9 9 8 7,3,3
13,20 18 17 15 13 13 12 12 12 10 10 9 8,5,5
13,20 18 17 15 13 13 13 12 11 10 9 9 9,6,6
13,20 18 17 15 14 14 13 12 12 10 8 8 8,2,2
13,20 18 17 15 15 14 12 11 11 11 10 8 7,3,3
13,20 18 17 16 14 12 11 11 11 10 10 10 9,3,3
13,20 18 17 16 14 13 12 12 12 11 11 9 4,2,2
13,20 18 17 16 14 14 13 13 10 10 10 9 5,4,4
13,20 18 17 16 14 14 14 14 12 9 9 6 6,2,2
13,20 18 17 16 15 13 12 11 11 10 10 9 7,5,5
13,20 18 17 16 15 13 12 12 10 10 10 8 8,2,2
13,20 18 17 16 15 14 12 12 12 12 10 7 4,2,2
13,20 18 17 16 15 14 14 11 11 10 8 8 7,2,2
13,20 18 17 16 16 13 13 12 10 10 9 9 6,5,5
13,20 18 17 16 16 14 14 13 10 9 8 8 6,2,2
13,20 18 17 17 16 13 12 12 10 9 9 8 8,2,2
13,20 18 17 17 16 14 14 12 9 8 8 8 8,2,2
13,20 18 18 15 14 14 12 12 10 10 9 9 8,2,2
13,20 18 18 16 13 12 12 12 12 11 9 8 8,3,3
13,20 18 18 16 13 13 12 12 10 10 10 10 7,3,3
13,20 18 18 16 16 15 12 11 10 10 9 8 6,4,4
13,20 18 18 17 14 13 12 12 11 10 9 8 7,12,12
13,20 18 18 17 14 13 12 12 12 12 9 6 6,2,2
13,20 18 18 18 15 13 12 12 11 11 10 6 5,2,2
13,20 19 15 14 14 14 13 13 13 12 10 8 4,2,2
13,20 19 15 15 13 13 12 12 12 12 10 8 8,5,5
13,20 19 16 15 13 13 12 11 11 11 11 9 8,6,6
13,20 19 16 15 14 12 12 11 11 11 10 10 8,2,2
13,20 19 16 15 14 14 13 12 11 10 9 9 7,12,12
13,20 19 16 15 15 15 14 14 12 10 8 7 4,2,2
13,20 19 16 16 14 14 12 11 11 10 10 8 8,3,3
13,20 19 17 14 13 13 12 12 10 10 10 10 9,7,7
13,20 19 17 14 14 14 14 13 11 10 9 8 6,3,3
13,20 19 17 15 13 13 12 12 11 11 10 10 6,4,4
13,20 19 17 16 15 14 13 12 12 10 7 7 7,3,3
13,20 19 17 16 16 15 12 11 11 9 8 8 7,3,3
13,20 19 18 14 14 12 12 11 11 11 11 9 7,10,10
13,20 19 18 14 14 14 14 12 12 10 10 7 5,4,4
13,20 19 18 15 14 12 12 11 10 10 10 10 8,4,4
13,20 19 18 16 16 14 11 10 10 10 10 9 6,2,2
13,20 19 18 18 14 13 12 11 10 10 8 8 8,3,3
13,20 19 19 14 14 13 12 12 11 10 10 8 7,4,4
13,20 20 13 13 13 13 12 12 11 11 11 10 10,4,4
13,20 20 15 15 14 14 12 12 11 10 10 8 8,3,3
13,20 20 16 14 14 13 13 12 12 11 11 8 5,2,2
13,20 20 16 15 14 14 13 13 12 11 9 7 5,2,2
13,20 20 16 15 14 14 14 14 11 9 8 8 6,2,2
13,20 20 16 16 13 13 12 12 11 11 10 10 5,3,3
13,20 20 16 16 14 14 12 12 11 11 10 9 4,2,2
13,20 20 16 16 15 13 13 11 10 10 9 8 8,2,2
13,20 20 17 15 14 14 12 12 11 9 9 8 8,3,3
13,20 20 17 16 15 14 13 12 12 10 7 7 6,2,2
13,20 20 17 17 14 12 11 11 10 10 10 9 8,3,3
13,20 20 18 15 14 13 12 12 12 11 8 8 6,3,3
13,20 20 18 16 13 13 12 12 10 10 10 10 5,2,2
13,20 20 18 16 14 14 12 11 10 10 9 8 7,2,2
13,20 20 18 17 15 14 12 10 10 9 9 9 6,2,2
13,20 20 19 14 14 13 12 12 11 10 10 8 6,4,4
13,21 14 14 14 14 13 13 12 12 12 11 11 8,39,39
13,21 16 15 15 14 13 12 12 12 11 10 9 9,4,4
13,21 16 15 15 14 14 12 12 12 12 11 9 6,4,4
13,21 16 15 15 14 14 14 13 12 11 11 8 5,2,2
13,21 16 15 15 15 15 14 12 11 11 10 8 6,3,3
13,21 16 16 15 14 12 12 11 11 11 11 10 9,8,8
13,21 16 16 15 14 14 13 12 12 10 9 9 8,5,5
13,21 16 16 15 15 14 14 13 13 10 10 6 6,3,3
13,21 16 16 16 15 14 12 12 12 10 10 9 6,2,2
13,21 17 15 14 14 13 12 12 11 11 10 10 9,19,19
13,21 17 15 15 14 14 13 13 12 12 9 8 6,2,2
13,21 17 16 14 14 13 12 12 12 12 10 9 7,3,3
13,21 17 16 15 14 14 14 13 10 10 9 9 7,3,3
13,21 17 16 15 15 14 13 12 11 10 10 8 7,9,9
13,21 17 16 16 14 13 12 11 10 10 10 10 9,7,7
13,21 17 16 16 16 14 13 12 11 10 8 8 7,3,3
13,21 17 17 13 13 13 13 12 12 11 11 8 8,4,4
13,21 17 17 16 14 14 12 11 11 10 9 9 8,5,5
13,21 17 17 16 16 15 14 12 12 9 8 6 6,2,2
13,21 18 15 14 14 14 13 13 13 10 9 8 7,4,4
13,21 18 15 15 15 14 13 12 11 10 9 8 8,3,3
13,21 18 16 14 13 13 13 12 11 10 10 10 8,7,7
13,21 18 16 15 15 14 13 12 10 10 10 10 5,3,3
13,21 18 16 15 15 14 14 13 10 9 8 8 8,2,2
13,21 18 16 16 14 13 13 12 12 10 10 9 5,5,5
13,21 18 16 16 15 14 12 12 11 11 8 8 7,2,2
13,21 18 17 14 13 12 12 12 11 10 10 10 9,2,2
13,21 18 17 14 14 12 12 12 12 11 10 10 6,2,2
13,21 18 17 15 14 14 13 12 12 10 8 8 7,2,2
13,21 18 17 15 15 14 14 12 11 10 9 8 5,3,3
13,21 18 17 16 14 13 12 12 11 11 10 8 6,2,2
13,21 18 17 16 14 14 14 12 12 11 10 5 5,2,2
13,21 18 17 16 15 13 12 12 10 10 10 8 7,2,2
13,21 18 17 16 16 12 12 12 12 10 10 8 5,2,2
13,21 18 17 16 16 14 12 12 12 11 9 6 5,2,2
13,21 18 18 14 14 14 14 11 11 9 9 8 8,2,2
13,21 18 18 15 13 12 12 11 11 11 10 9 8,3,3
13,21 18 18 16 14 14 14 12 12 11 10 5 4,2,2
13,21 18 18 16 16 14 11 11 10 10 8 8 8,2,2
13,21 19 15 15 13 13 12 12 12 12 10 8 7,6,6
13,21 19 16 16 15 14 14 10 10 10 10 8 6,2,2
13,21 19 17 14 14 14 13 12 10 10 10 8 7,3,3
13,21 19 17 15 14 13 13 12 12 11 10 6 6,2,2
13,21 19 18 15 14 13 12 12 12 11 8 7 7,3,3
13,21 19 18 15 14 13 13 12 11 10 9 8 6,2,2
13,21 19 18 17 15 12 12 12 11 10 8 8 6,2,2
13,21 19 18 17 16 13 12 10 10 9 8 8 8,2,2
13,21 20 15 15 13 13 12 12 12 12 10 8 6,2,2
13,21 20 17 15 14 14 12 12 11 9 9 8 7,2,2
13,21 20 17 16 15 15 14 12 9 8 8 7 7,2,2
13,22 15 15 15 14 14 14 12 10 10 10 9 9,2,2
13,22 16 15 15 14 13 12 12 12 11 10 9 8,5,5
13,22 16 15 15 14 13 13 12 12 11 11 10 5,4,4
13,22 16 15 15 14 14 12 12 12 12 11 8 6,2,2
13,22 16 16 14 14 13 13 13 13 11 9 8 7,2,2
13,22 16 16 15 14 12 12 11 11 11 11 10 8,3,3
13,22 16 16 15 14 14 13 12 12 10 9 8 8,2,2
13,22 16 16 16 15 14 12 12 12 10 10 8 6,2,2
13,22 17 15 14 14 13 12 12 11 11 10 10 8,6,6
13,22 17 15 14 14 14 13 12 11 11 11 9 6,4,4
13,22 17 16 14 14 13 12 12 12 12 10 8 7,3,3
13,22 17 16 16 14 13 12 11 10 10 10 10 8,2,2
13,22 17 16 16 14 13 13 12 12 11 8 8 7,2,2
13,22 17 16 16 15 14 14 12 10 10 10 7 6,2,2
13,22 17 17 16 14 14 12 11 11 10 9 8 8,3,3
13,22 18 14 14 14 12 12 12 11 11 11 9 9,2,2
13,22 18 14 14 14 13 13 12 12 11 10 10 6,2,2
13,22 18 14 14 14 14 13 13 12 12 9 9 5,3,3
13,22 18 16 14 13 13 13 12 12 12 11 7 6,2,2
13,22 18 16 15 15 13 13 12 10 10 9 8 8,2,2
13,22 18 16 16 14 13 12 12 11 10 9 9 7,2,2
13,22 18 17 14 13 12 12 12 11 10 10 10 8,2,2
13,22 18 17 15 14 14 13 13 12 10 9 8 4,2,2
13,22 18 17 16 16 13 13 12 10 10 9 7 6,2,2
13,22 18 18 15 13 12 12 11 11 11 10 8 8,2,2
13,22 18 18 16 13 12 12 12 12 11 8 8 7,2,2
13,22 18 18 16 14 12 12 11 11 10 10 9 6,2,2
13,22 19 16 14 13 13 12 12 12 11 10 9 6,3,3
13,22 19 16 15 14 14 13 12 11 10 9 7 7,2,2
13,22 20 16 14 13 13 12 11 11 10 10 9 8,6,6
13,22 20 16 14 14 13 12 12 12 12 10 8 4,2,2
13,22 20 16 15 14 14 13 12 11 10 9 7 6,5,5
13,22 20 17 14 14 14 14 13 11 10 8 6 6,3,3
13,23 16 14 14 14 14 11 11 11 11 10 10 10,2,2
13,23 16 16 15 14 14 13 12 12 9 9 8 8,2,2
13,23 17 16 14 14 13 12 12 12 12 9 8 7,2,2
13,23 17 16 16 14 13 12 11 10 10 10 9 8,3,3
13,23 18 14 14 14 13 13 12 12 11 10 9 6,2,2
13,23 18 17 14 13 12 12 12 11 10 10 9 8,2,2
13,23 20 17 16 12 12 12 11 11 10 9 8 8,2,2
13,24 17 15 14 14 13 12 12 11 10 10 9 8,3,3
13,25 16 15 15 14 14 12 12 12 11 9 8 6,2,2
