q,signature,pencils,distinct_isogeny_multisets
11,17 15 14 13 12 11 10 9 8 7 5,5,5
11,17 15 14 13 12 12 12 10 8 4 4,2,2
11,17 15 14 14 13 10 10 10 7 6 5,3,3
11,17 15 14 14 14 12 10 8 6 6 5,2,2
11,17 15 15 14 11 10 10 10 8 7 4,5,5
11,17 15 15 14 12 12 8 8 7 7 6,3,3
11,17 15 15 14 13 10 9 8 8 6 6,2,2
11,17 16 12 12 12 11 10 10 10 7 4,5,5
11,17 16 13 12 11 11 11 10 9 6 5,12,12
11,17 16 13 12 12 12 10 9 8 6 6,10,10
11,17 16 13 13 12 12 9 8 7 7 7,4,4
11,17 16 14 12 11 9 9 9 8 8 8,6,6
11,17 16 14 13 12 10 10 10 9 5 5,2,2
11,17 16 14 13 12 11 10 9 8 7 4,13,13
11,17 16 14 14 10 10 9 9 8 8 6,3,3
11,17 16 14 14 12 12 11 10 7 5 3,2,2
11,17 16 14 14 13 10 10 10 7 6 4,4,4
11,17 16 14 14 14 12 10 8 6 6 4,2,2
11,17 16 15 12 11 10 10 8 8 8 6,5,5
11,17 16 15 14 14 13 8 7 7 7 3,2,2
11,17 16 15 15 12 11 10 9 6 6 4,2,2
11,17 16 16 13 12 10 10 10 9 5 3,3,3
11,17 16 16 14 12 10 8 8 8 7 5,2,2
11,17 17 13 12 12 12 10 9 8 6 5,2,2
11,17 17 14 12 12 10 9 9 9 8 4,2,2
11,17 17 14 13 12 11 8 8 8 7 6,2,2
11,17 17 16 14 13 11 9 8 6 5 5,2,2
11,17 17 16 15 12 11 10 9 6 4 4,2,2
11,17 17 16 16 13 10 8 7 7 6 4,2,2
11,18 13 12 12 11 11 11 10 10 9 4,7,7
11,18 13 12 12 12 11 10 9 8 8 8,18,18
11,18 14 12 12 12 11 10 9 9 9 5,5,5
11,18 14 13 11 11 11 10 10 10 8 5,8,8
11,18 14 13 12 12 10 10 10 8 8 6,9,9
11,18 14 13 12 12 12 11 10 7 6 6,5,5
