n,grad_frac,curl_frac,curl_energy,order_agreement,ties,min_abs_A,sd_psi,rms_A,cycles,triangles,cycle_frac,pool,q,replicate
8,0.9892493894601084,0.14623831732074358,0.02138564545280249,0.9285714285714286,0,0.00012886705252590502,0.01412901790871544,0.02159320739503337,0,56,0.0,arithmetic,11,0
8,0.9924107106290373,0.12296739986179023,0.015120981428769407,1.0,0,0.00267544268498332,0.011730039217721866,0.017869771230073186,0,56,0.0,arithmetic,11,1
8,0.9982790265819605,0.05864286049105814,0.0034389850865737077,1.0,0,0.0020169011505988266,0.022605174817544284,0.034234729007373794,0,56,0.0,arithmetic,11,2
8,0.9941739310434492,0.10778773044097087,0.011618194833615396,1.0,0,0.0025295366125624996,0.012238701309857956,0.018611609685008478,0,56,0.0,arithmetic,11,3
8,0.9902565795771139,0.13925482614342397,0.01939190660423523,1.0,0,0.0026100990813435754,0.009209411014525652,0.014060316296275613,0,56,0.0,arithmetic,11,4
8,0.9918803844979328,0.12717430105266084,0.016173302848232807,1.0,0,0.001001250341271076,0.0104726895342931,0.01596283036818777,0,56,0.0,arithmetic,11,5
8,0.9881806248971531,0.15329400698615747,0.023499052577872093,0.9642857142857143,0,0.0020430873482351064,0.012681370499844458,0.01940174659266295,0,56,0.0,arithmetic,11,6
8,0.9992886471718092,0.03771206217558904,0.0014221996335354939,0.9642857142857143,0,0.0005849917857523312,0.018854133663794438,0.028525062160768763,0,56,0.0,arithmetic,11,7
8,0.9959933978898896,0.08942679329905563,0.00799715135975202,1.0,0,0.0005266083987565118,0.009154112188564536,0.013895390055991698,0,56,0.0,control:loose,11,0
8,0.9911466845726863,0.13277141883919052,0.01762824966057176,0.9285714285714286,0,0.001395504921891333,0.019476971889460064,0.02970944071387019,1,56,0.017857142857142856,control:loose,11,1
8,0.9916040299865797,0.12931143690476252,0.016721447714374373,1.0,0,0.0011103997822228262,0.011663134649871154,0.01778230183930927,0,56,0.0,control:loose,11,2
8,0.9986777903460019,0.05140691655436248,0.0026426710696271873,0.9642857142857143,0,6.696814096951442e-05,0.016563831340345416,0.025075313956459774,0,56,0.0,control:loose,11,3
8,0.9879361815035282,0.1548615551911693,0.023982101276227567,0.9285714285714286,0,0.00015623880337289897,0.011803202082212031,0.01806266897942841,0,56,0.0,control:loose,11,4
8,0.9943982841839117,0.10569793002747123,0.011172052412092204,1.0,0,0.001954281638676836,0.013803992475118135,0.02098723951666197,0,56,0.0,control:loose,11,5
8,0.992848067801628,0.11938473211669004,0.01425271426257384,1.0,0,0.0020116547593783674,0.016357245776019144,0.024907971239969195,0,56,0.0,control:loose,11,6
8,0.9915134845903987,0.1300038840781516,0.01690100987540548,0.9642857142857143,0,5.712066067187216e-05,0.01741294949403895,0.02655123256047124,1,56,0.017857142857142856,control:loose,11,7
8,0.9978068031349167,0.0661935315395532,0.004381583617677823,1.0,0,0.0013830832185453001,0.016074927905536593,0.02435642505298068,0,56,0.0,control:m2matched,11,0
8,0.998814782767357,0.04867267945570333,0.0023690297253976455,1.0,0,7.412687684138497e-05,0.01667884906550313,0.025245971550309575,0,56,0.0,control:m2matched,11,1
8,0.9981410841015484,0.060945682608248744,0.003714376228585394,1.0,0,0.0019456548819366537,0.017793068124305353,0.026950689532527654,0,56,0.0,control:m2matched,11,2
8,0.9937291502843123,0.11181402360714245,0.012502375875218607,1.0,0,0.0005356997581367207,0.016090901284512165,0.024480670703899948,0,56,0.0,control:m2matched,11,3
8,0.9947704527048351,0.10213592132750063,0.010431746425417398,1.0,0,0.0022136394618634814,0.009471995198500439,0.01439559312930022,0,56,0.0,control:m2matched,11,4
8,0.9970121137728316,0.07724535578421679,0.005966844990230234,1.0,0,0.0010035919102009405,0.012315347071208684,0.01867485299885014,0,56,0.0,control:m2matched,11,5
8,0.9932917940509337,0.11563482118755283,0.013371411871077316,1.0,0,0.0001489703645474183,0.012052482454106093,0.018344700747565324,0,56,0.0,control:m2matched,11,6
8,0.9953742034549957,0.09607390434625095,0.009230195096332576,0.9642857142857143,0,0.0003840754501698296,0.012375252126938406,0.018796571710534886,0,56,0.0,control:m2matched,11,7
8,0.994698700984508,0.1028323599832878,0.010574494259732491,1.0,0,0.00016861224105357842,0.007255762479054909,0.011028145262326325,0,56,0.0,control:marginal,11,0
8,0.9877948446615339,0.15576053691515077,0.02426134486009604,1.0,0,0.0010585991359559621,0.009631533147578211,0.0147414308550787,0,56,0.0,control:marginal,11,1
8,0.9875744428763649,0.1571519003303416,0.024696719777437613,1.0,0,0.002075635566173628,0.011230191272666272,0.017192074407286043,0,56,0.0,control:marginal,11,2
8,0.9970813744695881,0.0763461373340998,0.005828732685837226,0.9642857142857143,0,0.0003684509849157802,0.017600362738553338,0.026687137068576155,0,56,0.0,control:marginal,11,3
