iso_code,score_sequence,realised,certified_min_absA,witness
0,0-1-2-3-4-5,yes,4.250e-04,"{""bases"": [[16, 1], [17, 8], [19, 17], [39], [24, 5], [22, 12]], ""powers"": [242, 220, 208, 186, 207, 202]}"
2,4-0-1-2-4-4,yes,1.670e-02,"{""bases"": [[6, 1], [10, 4], [2, 1], [12, 11], [2, 2], [2, 1]], ""powers"": [114, 109, 235, 99, 193, 200]}"
8,3-0-1-3-4-4,yes,1.307e-02,"{""bases"": [[6, 1], [21, 1], [48, 2], [29, 8], [39, 3], [6, 5]], ""powers"": [245, 194, 167, 172, 165, 238]}"
9,3-0-1-3-3-5,yes,1.504e-02,"{""bases"": [[2, 1], [5, 3], [4, 2], [29, 23], [27, 1], [44, 3]], ""powers"": [206, 156, 167, 103, 108, 97]}"
64,2-0-2-3-4-4,yes,7.855e-03,"{""bases"": [[34, 2], [3, 1], [4, 4], [4, 2], [4, 3], [27]], ""powers"": [118, 231, 176, 193, 181, 117]}"
65,2-0-2-3-3-5,yes,1.040e-02,"{""bases"": [[4, 1], [21, 2], [19, 5], [17, 1], [4, 3], [13, 8]], ""powers"": [187, 127, 122, 128, 175, 126]}"
66,3-0-2-2-4-4,yes,1.123e-02,"{""bases"": [[2, 1], [44, 15], [55, 30], [55, 3], [41, 3], [2, 1]], ""powers"": [245, 93, 88, 90, 91, 238]}"
67,2-0-2-2-4-5,yes,1.395e-02,"{""bases"": [[2, 1], [6, 5], [10, 8], [11, 1], [51, 47], [14, 4]], ""powers"": [234, 151, 123, 128, 93, 114]}"
72,3-0-2-3-3-4,yes,8.196e-03,"{""bases"": [[5, 4], [39, 7], [6, 2], [48], [51, 6], [44, 2]], ""powers"": [248, 173, 244, 156, 158, 161]}"
80,2-3-0-3-3-4,yes,8.413e-03,"{""bases"": [[2, 1], [9, 4], [3, 1], [44, 6], [10], [2]], ""powers"": [221, 114, 159, 86, 110, 212]}"
81,3-2-0-3-3-4,yes,4.956e-03,"{""bases"": [[34, 26], [2, 2], [3, 2], [24, 4], [22, 1], [2, 1]], ""powers"": [78, 159, 155, 83, 85, 180]}"
200,3-3-0-3-3-3,yes,3.895e-03,"{""bases"": [[22, 14], [12, 11], [3, 3], [18, 2], [4, 1], [1, 1]], ""powers"": [70, 78, 118, 74, 110, 219]}"
1024,1-1-2-3-4-4,yes,6.697e-03,"{""bases"": [[1, 1], [19, 14], [4, 2], [10, 4], [5, 1], [1]], ""powers"": [240, 69, 99, 77, 92, 206]}"
1025,1-1-2-3-3-5,yes,6.259e-03,"{""bases"": [[8, 1], [39, 7], [15, 4], [1, 1], [9, 6], [6, 3]], ""powers"": [94, 71, 82, 213, 89, 99]}"
1026,3-1-1-2-4-4,yes,7.655e-03,"{""bases"": [[12, 10], [9, 1], [3, 1], [19, 5], [13, 2], [48, 3]], ""powers"": [146, 162, 236, 136, 147, 118]}"
1027,1-1-2-2-4-5,yes,1.440e-02,"{""bases"": [[2, 1], [25, 11], [15, 1], [2, 2], [17], [36, 4]], ""powers"": [250, 119, 135, 231, 116, 103]}"
1032,3-1-1-3-3-4,yes,1.045e-02,"{""bases"": [[51, 47], [55, 2], [11, 5], [22, 1], [2, 1], [2, 1]], ""powers"": [84, 87, 111, 97, 249, 232]}"
1033,2-1-1-3-3-5,yes,6.468e-03,"{""bases"": [[1, 1], [1, 1], [3, 1], [13, 11], [7, 2], [3, 3]], ""powers"": [204, 217, 129, 78, 91, 115]}"
1034,2-1-1-3-4-4,yes,5.363e-03,"{""bases"": [[2, 1], [4, 1], [2, 2], [55, 51], [34, 10], [2, 2]], ""powers"": [177, 104, 153, 62, 66, 169]}"
1035,1-1-1-3-4-5,yes,1.174e-02,"{""bases"": [[48, 44], [41, 2], [1, 1], [55, 4], [17], [15, 7]], ""powers"": [56, 59, 225, 55, 64, 66]}"
1040,1-3-1-3-3-4,yes,4.469e-03,"{""bases"": [[6, 1], [22, 4], [3, 2], [2, 1], [41, 27], [7, 4]], ""powers"": [95, 72, 119, 163, 65, 90]}"
1041,3-1-1-3-3-4,yes,3.503e-03,"{""bases"": [[2, 1], [6, 1], [31, 2], [10, 5], [7, 6], [6, 1]], ""powers"": [247, 176, 126, 150, 159, 178]}"
1043,3-1-1-2-4-4,yes,7.392e-03,"{""bases"": [[48, 2], [11, 2], [48, 4], [13, 10], [4, 2], [55, 26]], ""powers"": [121, 161, 126, 148, 206, 116]}"
1051,4-1-1-1-4-4,yes,1.280e-02,"{""bases"": [[39, 21], [17, 12], [21, 1], [4, 2], [41, 1], [3, 1]], ""powers"": [118, 137, 140, 201, 120, 227]}"
1088,3-1-2-2-3-4,yes,1.915e-03,"{""bases"": [[17, 14], [16, 2], [8, 1], [2, 1], [21, 7], [2, 1]], ""powers"": [110, 119, 135, 234, 109, 229]}"
1089,2-1-2-2-3-5,yes,5.373e-03,"{""bases"": [[15, 1], [6, 1], [1, 1], [16, 6], [14, 7], [36, 29]], ""powers"": [63, 76, 158, 59, 60, 50]}"
1090,2-1-2-2-4-4,yes,3.424e-03,"{""bases"": [[3, 1], [1, 1], [48, 7], [4, 3], [2, 1], [4]], ""powers"": [97, 189, 54, 88, 144, 87]}"
1096,2-1-2-3-3-4,yes,3.767e-03,"{""bases"": [[8, 1], [2, 1], [16, 4], [41, 6], [13, 7], [10, 9]], ""powers"": [148, 234, 126, 107, 129, 136]}"
1104,3-3-1-2-3-3,yes,3.274e-03,"{""bases"": [[29, 21], [3, 1], [14, 1], [34, 4], [1, 1], [3, 3]], ""powers"": [48, 92, 56, 48, 178, 85]}"
1105,3-2-1-2-3-4,yes,3.244e-03,"{""bases"": [[24, 1], [1, 1], [1, 1], [24, 9], [13, 1], [44, 19]], ""powers"": [65, 199, 206, 63, 72, 57]}"
1152,1-2-2-3-3-4,yes,4.575e-03,"{""bases"": [[10, 2], [3, 3], [3, 2], [3, 1], [41, 14], [16, 15]], ""powers"": [166, 222, 241, 235, 128, 147]}"
1153,2-1-2-3-3-4,yes,4.524e-03,"{""bases"": [[11, 3], [5, 1], [2, 2], [1, 1], [5, 3], [11, 8]], ""powers"": [91, 115, 150, 224, 111, 89]}"
1154,3-1-2-2-3-4,yes,5.998e-03,"{""bases"": [[8, 8], [2, 1], [6, 1], [2], [2, 2], [2, 1]], ""powers"": [83, 135, 96, 170, 134, 145]}"
1155,2-1-2-2-4-4,yes,3.789e-03,"{""bases"": [[51, 1], [24, 1], [2, 1], [17, 7], [6, 5], [51, 11]], ""powers"": [101, 113, 222, 117, 144, 98]}"
1156,1-2-2-2-4-4,yes,7.616e-03,"{""bases"": [[4, 1], [2, 1], [36, 10], [2, 2], [19, 3], [4, 3]], ""powers"": [169, 233, 98, 225, 106, 159]}"
1157,3-2-1-2-3-4,yes,6.419e-03,"{""bases"": [[29, 23], [5, 3], [34, 1], [4, 1], [21, 3], [2, 2]], ""powers"": [90, 131, 92, 146, 97, 178]}"
1158,1-2-2-2-3-5,yes,3.302e-03,"{""bases"": [[5, 2], [41, 29], [27, 2], [3, 2], [6, 4], [16, 1]], ""powers"": [190, 124, 133, 248, 182, 143]}"
1159,2-1-2-2-3-5,yes,5.840e-03,"{""bases"": [[17, 9], [7, 2], [18, 3], [7, 7], [6, 2], [31, 2]], ""powers"": [168, 209, 169, 199, 210, 150]}"
1160,3-2-1-3-3-3,yes,4.489e-03,"{""bases"": [[6, 6], [14, 2], [5, 1], [6, 2], [1, 1], [19, 16]], ""powers"": [44, 39, 51, 48, 107, 35]}"
1161,2-2-1-3-3-4,yes,2.646e-03,"{""bases"": [[6, 6], [8, 1], [2, 2], [4, 1], [14, 12], [18, 3]], ""powers"": [157, 157, 240, 182, 131, 126]}"
1162,3-1-2-2-3-4,yes,3.049e-03,"{""bases"": [[11, 10], [2, 2], [7, 3], [6, 1], [48, 22], [2, 1]], ""powers"": [59, 138, 67, 69, 47, 136]}"
1165,2-2-1-3-3-4,yes,5.610e-03,"{""bases"": [[36, 1], [10, 1], [14, 6], [15, 3], [8, 5], [48, 22]], ""powers"": [178, 226, 206, 204, 227, 167]}"
1169,3-1-2-3-3-3,yes,2.435e-03,"{""bases"": [[2, 1], [5, 4], [44, 41], [18], [21, 6], [18, 2]], ""powers"": [249, 152, 98, 112, 111, 115]}"
1171,3-1-2-3-2-4,yes,5.486e-03,"{""bases"": [[22, 1], [14, 1], [2, 2], [2, 2], [24, 22], [22, 4]], ""powers"": [104, 114, 212, 249, 101, 102]}"
1177,3-2-1-3-2-4,yes,6.518e-03,"{""bases"": [[2, 1], [13, 8], [10, 1], [22, 12], [25, 2], [15, 1]], ""powers"": [199, 90, 100, 81, 82, 89]}"
1224,3-2-1-3-3-3,yes,2.946e-03,"{""bases"": [[3, 2], [2, 1], [19, 11], [16, 4], [18, 2], [4, 4]], ""powers"": [170, 203, 110, 113, 111, 160]}"
3136,2-2-2-3-3-3,yes,2.882e-03,"{""bases"": [[6, 1], [19, 2], [2, 2], [2, 1], [4, 4], [15, 13]], ""powers"": [114, 88, 168, 195, 122, 91]}"
3137,2-2-2-3-2-4,yes,4.414e-03,"{""bases"": [[34, 1], [7, 1], [2, 1], [4, 3], [22, 18], [25, 21]], ""powers"": [90, 119, 224, 132, 91, 88]}"
3138,3-2-2-2-2-4,yes,4.668e-03,"{""bases"": [[3, 1], [11, 7], [24, 12], [16, 1], [24, 3], [4, 3]], ""powers"": [200, 141, 122, 135, 125, 190]}"
3141,2-2-2-2-3-4,yes,5.105e-03,"{""bases"": [[4, 1], [19, 1], [31, 1], [6, 5], [10, 10], [4, 3]], ""powers"": [244, 166, 153, 213, 181, 231]}"
3142,2-2-2-2-2-5,yes,4.300e-03,"{""bases"": [[6, 6], [9, 1], [5, 1], [14, 4], [9, 4], [55, 1]], ""powers"": [167, 160, 187, 143, 155, 113]}"
3152,3-2-2-2-3-3,yes,1.720e-03,"{""bases"": [[25, 16], [15, 7], [15, 3], [39, 3], [8, 8], [4, 3]], ""powers"": [130, 144, 145, 124, 161, 193]}"
3153,2-3-2-2-3-3,yes,2.427e-03,"{""bases"": [[8, 7], [18, 12], [13, 2], [6, 3], [27, 2], [3, 3]], ""powers"": [150, 126, 137, 163, 119, 195]}"
3157,2-2-2-2-3-4,yes,2.791e-03,"{""bases"": [[29, 1], [7, 5], [5, 1], [2, 1], [19, 12], [55, 44]], ""powers"": [116, 150, 166, 244, 120, 102]}"
3264,2-3-2-3-2-3,yes,5.721e-03,"{""bases"": [[2, 2], [2, 2], [24, 18], [19, 18], [15, 2], [22, 2]], ""powers"": [69, 72, 36, 37, 40, 37]}"
3340,2-3-2-2-3-3,yes,3.643e-03,"{""bases"": [[36, 1], [55, 5], [17, 2], [31, 11], [15, 12], [44, 29]], ""powers"": [212, 196, 238, 210, 233, 195]}"
