signature,sigma,psi
"(5180584820303422554112, 2234356748607932858368)",-4.278520024,1.772747091
"(31539938692971208223227904, 1)",-4.439179144,1.853076652
"(405578209186060584353792, 1000000000000)",-4.362134164,1.814554161

edge,A_certified
1->2,0.001382452670
2->3,0.001382452701
3->1,0.001382452672
