two-fiber pool: 3025 signatures, D computed in 36s;  max |D| = 0.128798

=== n = 6: 56 isomorphism classes, two-fiber bases + Cartesian powers ===
  class 34 code 1156   scores 1-2-2-2-4-4  OK   LP margin=7.91e-03  certified min|A|=7.616e-03  rational err=1.1e-03  powers=[169, 233, 98, 225, 106, 159]  5s
  class 35 code 1157   scores 3-2-1-2-3-4  OK   LP margin=6.97e-03  certified min|A|=6.419e-03  rational err=1.4e-03  powers=[90, 131, 92, 146, 97, 178]  5s
  class 36 code 1158   scores 1-2-2-2-3-5  OK   LP margin=5.43e-03  certified min|A|=3.302e-03  rational err=1.5e-03  powers=[190, 124, 133, 248, 182, 143]  6s
  class 37 code 1159   scores 2-1-2-2-3-5  OK   LP margin=6.64e-03  certified min|A|=5.840e-03  rational err=5.3e-04  powers=[168, 209, 169, 199, 210, 150]  98s
  class 38 code 1160   scores 3-2-1-3-3-3  OK   LP margin=5.74e-03  certified min|A|=4.489e-03  rational err=1.6e-03  powers=[44, 39, 51, 48, 107, 35]  5s
  class 39 code 1161   scores 2-2-1-3-3-4  OK   LP margin=4.95e-03  certified min|A|=2.646e-03  rational err=1.6e-03  powers=[157, 157, 240, 182, 131, 126]  9s
  class 40 code 1162   scores 3-1-2-2-3-4  OK   LP margin=5.15e-03  certified min|A|=3.049e-03  rational err=1.6e-03  powers=[59, 138, 67, 69, 47, 136]  3s
  class 41 code 1165   scores 2-2-1-3-3-4  OK   LP margin=6.86e-03  certified min|A|=5.610e-03  rational err=1.1e-03  powers=[178, 226, 206, 204, 227, 167]  9s
  class 42 code 1169   scores 3-1-2-3-3-3  OK   LP margin=5.10e-03  certified min|A|=2.435e-03  rational err=2.0e-03  powers=[249, 152, 98, 112, 111, 115]  9s
  class 43 code 1171   scores 3-1-2-3-2-4  OK   LP margin=6.41e-03  certified min|A|=5.486e-03  rational err=7.3e-04  powers=[104, 114, 212, 249, 101, 102]  8s
  class 44 code 1177   scores 3-2-1-3-2-4  OK   LP margin=6.36e-03  certified min|A|=6.518e-03  rational err=1.6e-03  powers=[199, 90, 100, 81, 82, 89]  3s
  class 45 code 1224   scores 3-2-1-3-3-3  OK   LP margin=4.19e-03  certified min|A|=2.946e-03  rational err=1.5e-03  powers=[170, 203, 110, 113, 111, 160]  8s
  class 46 code 3136   scores 2-2-2-3-3-3  OK   LP margin=4.69e-03  certified min|A|=2.882e-03  rational err=1.1e-03  powers=[114, 88, 168, 195, 122, 91]  8s
  class 47 code 3137   scores 2-2-2-3-2-4  OK   LP margin=6.00e-03  certified min|A|=4.414e-03  rational err=8.2e-04  powers=[90, 119, 224, 132, 91, 88]  6s
  class 48 code 3138   scores 3-2-2-2-2-4  OK   LP margin=5.58e-03  certified min|A|=4.668e-03  rational err=7.3e-04  powers=[200, 141, 122, 135, 125, 190]  3s
  class 49 code 3141   scores 2-2-2-2-3-4  OK   LP margin=5.86e-03  certified min|A|=5.105e-03  rational err=8.5e-04  powers=[244, 166, 153, 213, 181, 231]  9s
  class 50 code 3142   scores 2-2-2-2-2-5  OK   LP margin=5.38e-03  certified min|A|=4.300e-03  rational err=8.6e-04  powers=[167, 160, 187, 143, 155, 113]  5s
  class 51 code 3152   scores 3-2-2-2-3-3  OK   LP margin=2.63e-03  certified min|A|=1.720e-03  rational err=8.4e-04  powers=[130, 144, 145, 124, 161, 193]  6s
  class 52 code 3153   scores 2-3-2-2-3-3  OK   LP margin=3.86e-03  certified min|A|=2.427e-03  rational err=9.6e-04  powers=[150, 126, 137, 163, 119, 195]  7s
  class 53 code 3157   scores 2-2-2-2-3-4  OK   LP margin=5.56e-03  certified min|A|=2.791e-03  rational err=1.4e-03  powers=[116, 150, 166, 244, 120, 102]  4s
  class 54 code 3264   scores 2-3-2-3-2-3  OK   LP margin=7.45e-03  certified min|A|=5.721e-03  rational err=8.8e-04  powers=[69, 72, 36, 37, 40, 37]  2s
  class 55 code 3340   scores 2-3-2-2-3-3  OK   LP margin=4.47e-03  certified min|A|=3.643e-03  rational err=1.0e-03  powers=[212, 196, 238, 210, 233, 195]  24s

56/56 isomorphism classes realised and certified
wrote /Users/artemvorozhtsov/projects/fn_complexity/.claude/worktrees/agent-a8cfd2828b776c898/research/realizability/g1_potential_n6.csv
