quantity,k,value,bound,extra1,extra2
max|D|,1,3.774758283725532e-15,0.34657359027997264,0.8937970406583269,0.17147540007406503
max|D|,2,0.34273768913907654,0.34657359027997264,0.0,0.34657359027997264
max|D|,3,0.3427668923223224,0.34657359027997264,0.0,0.34657359027997264
max eps,1,7.105427357601002e-15,0.6931471805599453,3.1227819621738897,0.08618506128162372
max eps,2,0.6854753782781531,0.6931471805599453,0.0,1.3862943611198906
max eps,3,0.6854753782781531,0.6931471805599453,0.0,1.3862943611198906
max curl,1,7.049916206369744e-15,1.0397207708399179,0.17450836857780327,False
max curl,2,0.34273768913907876,1.0397207708399179,1.8020679629341376,False
max curl,3,0.34273768913907876,1.0397207708399179,1.7917015562384127,False
