genus,q,observed_deficit_mean,observed_deficit_std,predicted_mean,predicted_median,edge_asymptotic,gaussian_max_location,observed_deficit_in_a_units,predicted_deficit_in_a_units,gap_to_integer_weil_bound
1,101,0.1840571278667697,0.04308637422160694,0.11738733958539317,0.10180416011172574,0.11700660997387458,2.369897646178262,1.8497512422417792,1.179728162327482,1.75
1,211,0.07240050569976009,0.0,0.07179019853301853,0.06224502594941547,0.07159834918427613,2.6284820135391125,1.0516780926678988,1.0428128689949867,1.0
1,401,0.027464130716256974,0.024968808471946047,0.04676155142253971,0.04054589643262155,0.04666540766926916,2.8382491039828404,0.5499687890015756,0.9363993374990038,0.5
1,1009,0.048151494936268247,0.0,0.025257849483560028,0.021904140814176257,0.02522496283831962,3.119094408986484,1.5295206970743624,0.8023095357647079,1.0
1,2003,0.02256236240327303,0.01117196405421883,0.0159842489503827,0.013863534295144808,0.01596996679193966,3.314683925469121,1.0097760024009812,0.7153732715576843,0.5
1,4001,0.008014056776378897,0.0,0.010074859822338321,0.008739012807393347,0.010068828530696393,3.5024838289126716,0.5069168069477605,0.6372697266931072,0.0
1,8009,0.013811501982594676,0.0048385082868847434,0.0063417712693085255,0.005501291434329475,0.006339268063477415,3.682448835655142,1.2360329746430192,0.5675442407630498,0.25
1,16001,0.00782732851719481,0.0,0.003997346951484876,0.003467747383008375,0.003996316680764241,3.854521097085883,0.9901183840981712,0.5056446392392363,0.0
1,32003,0.004402871504510131,0.0,0.0025178893516273975,0.002184373821350111,0.002517469310344015,4.020286231106069,0.7876465167571868,0.45043485265418515,0.0
1,64007,0.0058977000441041705,0.0019763154608086753,0.0015860599801428388,0.0013760042090508445,0.0015858897701898577,4.180144282549871,1.4920947999088923,0.40126690591538844,0.5
1,128021,0.0016781632248075162,0.0,0.0009990801793795013,0.000866776196804602,0.0009990115341572024,4.334680309747149,0.6004471770541729,0.35747111156485134,0.0
1,256019,0.001909949978315728,0.0,0.0006294031094342652,0.0005460592132486583,0.0006293755218382407,4.48434139396694,0.9664026043552169,0.3184674002210943,0.0
1,512009,0.0004836620419457205,0.0006051483291818371,0.00039650775874536324,0.00034400541237752545,0.000396496705037281,4.629584903455768,0.3460834269654046,0.2837203502944467,0.25
1,1000003,0.0007529988682525302,0.00043301205237460344,0.00025376491613891415,0.0002201642868482272,0.00025376035741997454,4.7660063638874455,0.7529999977499854,0.2537652967860029,0.75
2,101,1.4129033054540283,0.41026434366535963,1.5098474617978515,1.525492614688134,1.4542001818333785,2.369897646178262,14.199502484483562,15.17377919793348,14.0
2,211,1.1946543074023293,0.24033448255943016,1.2955372682569781,1.3092723586097232,1.2549660531650029,2.6284820135391125,17.353356185335794,18.81876583722803,17.25
2,401,1.3283374935017658,0.40183494334833625,1.1345394055618334,1.1468082390203165,1.1037217346984372,2.8382491039828404,26.59993757800315,22.719133891321913,26.5
2,1009,1.1037086699054302,0.19278358437985055,0.9385247056207268,0.9489257360817343,0.9177200838352515,3.119094408986484,35.05904139414872,29.812012355223793,35.0
2,2003,0.84392015468319,0.09659065879757515,0.8156845724987597,0.824860012343732,0.8001147552883017,3.314683925469121,37.769552004801966,36.505871686489094,37.75
2,4001,0.7827846075713736,0.108671742477503,0.7083577662797893,0.7164258345804762,0.696714355523778,3.5024838289126716,49.5138336138955,44.806078504156325,49.5
2,8009,0.5444231054183821,0.14577219136979172,0.615133867710924,0.6222120132878295,0.6064190149594304,3.682448835655142,48.72206594928605,55.050185364963575,47.75
2,16001,0.5156741866823555,0.042342138543730465,0.5345691525745719,0.5407725986831518,0.5280305430773298,3.854521097085883,65.23023676819633,67.62035659716399,64.25
2,32003,0.44202360703815324,0.11581366521065903,0.4645849449186891,0.47001400709716457,0.4596744139638964,4.020286231106069,79.07529303351438,83.11137702478753,78.5
2,64007,0.3457927129648648,0.1126499812660913,0.40386099353947424,0.40860784106790016,0.4001685696073459,4.180144282549871,87.48418959981778,102.17523506450553,86.5
2,128021,0.3631939998549383,0.0920686518069552,0.3511425788024678,0.3552897441317504,0.3483631639629985,4.334680309747149,129.95089435410839,125.63889320697497,129.75
2,256019,0.2760621397098335,0.07788894921517804,0.3053674196753523,0.30898846658851686,0.30327319736175695,4.48434139396694,139.68280520871056,154.51078458072035,138.75
2,512009,0.27383509622179814,0.04728296177696371,0.26559682670874424,0.26875714524304095,0.2640176434665558,4.629584903455768,195.94216685393076,190.04728923675717,195.75
2,1000003,0.24425563361232439,0.042862360976199526,0.23213730753477974,0.2349072103663467,0.23093417588411563,4.7660063638874455,244.25599999550002,232.1376557404799,244.25
3,101,3.885545970803773,0.2373012456522695,3.484534325459413,3.527651209151922,3.3042743625333197,2.369897646178262,39.04925372672534,35.019136568393485,38.75
3,211,3.332339985566632,0.1229090520307193,3.230770473758507,3.2712663766159613,3.0803751897490774,2.6284820135391125,48.40503427800369,46.92965189746415,48.25
3,401,3.0411961960743854,0.12421825374553867,3.0266483916768565,3.0648916343790136,2.8976460769083325,2.8382491039828404,60.899906367004725,60.60858681096996,60.75
3,1009,2.623616900514754,0.3349296924875603,2.7579507033548576,2.793084964941265,2.653865921406119,3.119094408986484,83.33856209122308,87.6056431451466,82.75
3,2003,2.5925509634632675,0.13076448666797766,2.575172805506505,2.6081234684238765,2.486096865158378,3.314683925469121,116.02932800720296,115.25157049418088,115.5
3,4001,2.130646352349355,0.41170924069697673,2.4038891786681345,2.4347523648007234,2.327556216288988,3.5024838289126716,134.77075042084329,152.05430416944583,134.25
3,8009,2.3265290085894685,0.08704833663244635,2.2442232195141756,2.2731144009549347,2.1786852306922384,3.682448835655142,208.20809892392907,200.84230558521188,207.25
3,16001,2.23503081431077,0.14189947245755452,2.0961215120624748,2.123161980753159,2.0397121662303648,3.854521097085883,282.72035515229453,265.14901474207016,281.75
3,32003,1.7894018570329757,0.21279770700477496,1.9580325383459884,1.9833320634198919,1.9094050659890234,4.020286231106069,320.1129395502716,350.2799268490217,319.75
3,64007,1.8714770023707965,0.25537330185855145,1.8294100331940064,1.85307829249848,1.7874253002121792,4.180144282549871,473.4762843997267,462.8335074719031,472.5
3,128021,1.8664083963769098,0.1549696460345382,1.709530623350293,1.7316709768641574,1.6732318232586187,4.334680309747149,667.8013415311626,611.670439266169,667.0
3,256019,1.5018269497039038,0.14724140572596306,1.597777189331618,1.6184871625182802,1.5663553979310179,4.48434139396694,759.8992078130658,808.4484172256076,759.0
3,512009,1.4485935113437753,0.3420572939241282,1.4935299956262642,1.512901553183354,1.4663009883405989,4.629584903455768,1036.5382502808961,1068.6924636107196,1036.25
3,1000003,1.3962569056094627,0.13426143683723826,1.3994690907021428,1.4176303212426573,1.3757361683933849,4.7660063638874455,1396.2589999932504,1399.4711899042045,1396.25
4,101,4.965136569859533,0.3482630165734957,5.489257137925415,5.5353622400635185,5.156193590663681,2.369897646178262,49.89900496896712,55.16635148850046,49.5
4,211,5.487236373501473,0.24094993678752985,5.236482552524265,5.282372132031137,4.9494119099787035,2.6284820135391125,79.7067123706716,76.06430272690343,79.5
4,401,4.878898941006735,0.17478165930362266,5.030878528472196,5.076110481795787,4.775966482887903,2.8382491039828404,97.69987515600629,100.74326402328481,97.5
4,1009,4.741672253643609,0.04722214125154167,4.755035646910848,4.798734497134424,4.537300672689777,3.119094408986484,150.61808278829744,151.04256777287455,150.5
4,2003,4.782474352384987,0.15640749675906296,4.562792604870838,4.605088681724364,4.367708869903625,3.314683925469121,214.03910400960393,204.20727200370018,214.0
4,4001,4.687928134084534,0.0395235306195163,4.378411882491372,4.419212395633382,4.203005197349802,3.5024838289126716,296.52766722779097,276.9496938824438,296.5
4,8009,4.536042563232655,0.23465518120036855,4.202247689077085,4.241514921036057,4.044035332704294,3.682448835655142,405.94413189857215,376.0718217223843,405.0
4,16001,3.818018479307921,0.12648715374494035,4.034632746768497,4.0724019666912294,3.891496757719026,3.854521097085883,482.96047353639267,510.3611081206606,482.0
4,32003,3.7880043800522367,0.07546375695991347,3.874250447885871,3.9105521777542336,3.744484441134678,4.020286231106069,677.6505860670288,693.0794748827891,677.5
4,64007,3.573053367788695,0.08300524935396192,3.720895501885139,3.7557759206766734,3.603029058825908,4.180144282549871,903.9683791996355,941.3718547652098,903.0
4,128021,3.614871381957655,0.05310225859962081,3.5741394949199115,3.6076528445864975,3.466909913702009,4.334680309747149,1293.4017887082168,1278.8279104189296,1293.0
4,256019,3.494909724011445,0.16897794191578042,3.4336504261318996,3.465848379270101,3.335960008145662,4.48434139396694,1768.365610417421,1737.369434766805,1767.5
4,512009,3.5684317262519727,0.5170861751140876,3.299058402743911,3.329991588122396,3.2099503390390574,4.629584903455768,2553.3843337078615,2360.6347795818156,2553.0
4,1000003,3.240507139233937,0.0004999992500018813,3.17438455837131,3.204143596037592,3.0927655304652917,4.7660063638874455,3240.5119999910003,3174.3893199445765,3240.5
