family,genus,q,m,mu,mu_abs,rate,scaled_deviation,deficit,moment2,moment4,n_over_weil
G0a,0,101,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,211,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,401,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,1009,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,2003,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,4001,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,8009,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,16001,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,32003,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,64007,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,128021,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,256019,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,512009,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0a,0,1000003,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
G0b,0,101,100,9.950371902099892,9.950371902099892,0.8702348058147612,6.018689712791536,-9.950371902099892,0.9900990099009901,97.05911185177924,101
G0b,0,211,210,14.4569962072518,14.4569962072518,0.8856831584477795,8.88701753750256,-14.4569962072518,0.995260663507109,207.02836863502617,211
G0b,0,401,400,19.97504677755689,19.97504677755689,0.8965130257360233,12.421436382594766,-19.97504677755689,0.9975062344139651,397.0149439369158,401
G0b,0,1009,1008,31.733278921036156,31.733278921036156,0.908973826645651,19.999159836852368,-31.733278921036156,0.9990089197224975,1005.0059435349447,1009
G0b,0,2003,2002,44.73254407309206,44.73254407309206,0.9164710596239808,28.420272603795226,-44.73254407309206,0.9995007488766849,1999.0029947589849,2003
G0b,0,4001,4000,63.23764899122607,63.23764899122607,0.9228889074605071,40.45580535592707,-63.23764899122607,0.9997500624843789,3997.0014994376875,4001
G0b,0,8009,8008,89.48184243107387,89.48184243107387,0.9284107335915166,57.58583148818664,-89.48184243107387,0.9998751404669747,8005.000749110429,8009
G0b,0,16001,16000,126.48715374494002,126.48715374494002,0.9331841294396,81.81760989660384,-126.48715374494002,0.9999375039060059,15997.000374964844,16001
G0b,0,32003,32002,178.88823335045564,178.88823335045564,0.9373679123445027,116.23076612865637,-178.88823335045564,0.9999687529294129,31999.00018747949,32003
G0b,0,64007,64006,252.99209476903283,252.99209476903283,0.9410590116235542,165.02553927608028,-252.99209476903283,0.9999843767087975,64003.000093739014,64007
G0b,0,128021,128020,357.7974287328114,357.7974287328114,0.9443396686789268,234.20267705181251,-357.7974287328114,0.9999921887815281,128017.0000468671,128021
G0b,0,256019,256018,505.98122495197975,505.98122495197975,0.9472739080781318,332.22775463039284,-505.98122495197975,0.9999960940398954,256015.0000234357,256019
G0b,0,512009,512008,715.5466441832797,715.5466441832797,0.9499144447673092,471.1380048245373,-715.5466441832797,0.9999980469093317,512005.0000117185,512009
G0b,0,1000003,1000002,1000.0005000003749,1000.0005000003749,0.9522253144559145,660.032805908559,-1000.0005000003749,0.999999000003,999999.000006,1000003
G0c,0,101,100,9.950371902099892,9.950371902099892,0.8702348058147612,6.018689712791536,-9.950371902099892,0.9900990099009901,97.05911185177924,101
G0c,0,211,1,0.06884283908215143,14.4569962072518,0.9991173219372379,0.06861959547887093,-0.06884283908215143,0.995260663507109,207.02836863502617,211
G0c,0,401,400,19.97504677755689,19.97504677755689,0.8965130257360233,12.421436382594766,-19.97504677755689,0.9975062344139651,397.0149439369158,401
G0c,0,1009,1008,31.733278921036156,31.733278921036156,0.908973826645651,19.999159836852368,-31.733278921036156,0.9990089197224975,1005.0059435349447,1009
G0c,0,2003,1,0.02234392810843759,44.73254407309206,0.9999343505098589,0.02233688584712075,-0.02234392810843759,0.9995007488766849,1999.0029947589849,2003
G0c,0,4001,4000,63.23764899122607,63.23764899122607,0.9228889074605071,40.45580535592707,-63.23764899122607,0.9997500624843789,3997.0014994376875,4001
G0c,0,8009,8008,89.48184243107387,89.48184243107387,0.9284107335915166,57.58583148818664,-89.48184243107387,0.9998751404669747,8005.000749110429,8009
G0c,0,16001,16000,126.48715374494002,126.48715374494002,0.9331841294396,81.81760989660384,-126.48715374494002,0.9999375039060059,15997.000374964844,16001
G0c,0,32003,1,0.005589907922956554,178.88823335045564,0.9999969878794546,0.005589803753517903,-0.005589907922956554,0.9999687529294129,31999.00018747949,32003
G0c,0,64007,1,0.003952630921617237,252.99209476903283,0.999998588280181,0.0039525944654439545,-0.003952630921617237,0.9999843767087975,64003.000093739014,64007
G0c,0,128021,128020,357.7974287328114,357.7974287328114,0.9443396686789268,234.20267705181251,-357.7974287328114,0.9999921887815281,128017.0000468671,128021
G0c,0,256019,1,0.001976350197845385,505.98122495197975,0.9999996863447304,0.0019763457173510657,-0.001976350197845385,0.9999960940398954,256015.0000234357,256019
G0c,0,512009,512008,715.5466441832797,715.5466441832797,0.9499144447673092,471.1380048245373,-715.5466441832797,0.9999980469093317,512005.0000117185,512009
G0c,0,1000003,1,0.000999998500003375,1000.0005000003749,0.9999999276178606,0.0009999979281359558,-0.000999998500003375,0.999999000003,999999.000006,1000003
E1,1,101,19,1.8905706613989794,1.8905706613989794,0.9639955042845422,1.6699384556658203,0.10942933860102055,1.00990099009901,2.074502499754926,0
E1,1,211,28,1.92759949430024,1.92759949430024,0.9772471016607978,1.768815546545123,0.07240050569976009,0.985781990521327,1.9318523842680981,0
E1,1,401,39,1.947567060811797,1.947567060811797,0.9847516453672306,1.830244514899504,0.05243293918820302,1.0024937655860349,1.9800249998445283,0
E1,1,1009,62,1.9518485050637318,1.9518485050637318,0.9914521108333528,1.8780378808850358,0.048151494936268247,0.9970267591674926,2.023228014273913,0
E1,1,2003,89,1.9886096016509458,1.9886096016509458,0.9943139948237462,1.9346326723201057,0.011390398349054198,1.000499251123315,1.9816795027129799,0
E1,1,4001,126,1.991985943223621,1.991985943223621,0.9962756419061909,1.9539589072965795,0.008014056776378897,1.000249937515621,1.9954725140259548,0
E1,1,8009,177,1.977807955831678,1.9889820120793145,0.9975739144906538,1.9515237175357631,0.0221920441683221,1.0001248595330254,2.020397267832086,0
E1,1,16001,252,1.9921726714828052,1.9921726714828052,0.9983883834575418,1.9734624793156548,0.00782732851719481,1.0000624960939941,2.0080131389513296,0
E1,1,32003,357,1.9955971284954899,1.9955971284954899,0.9989317489296908,1.9824285756327273,0.004402871504510131,1.0000312470705872,1.9912605625494584,0
E1,1,64007,505,1.9960786154167045,1.9960786154167045,0.9992903765377591,1.9868345910884457,0.003921384583295495,1.0000156232912025,2.006631144572641,0
E1,1,128021,715,1.9983218367751925,1.9983218367751925,0.9995266266818186,1.9918188722857133,0.0016781632248075162,1.000007811218472,1.999475965419983,0
E1,1,256019,1011,1.9980900500216843,1.9980900500216843,0.9996836184034306,1.9935243368767142,0.001909949978315728,1.0000039059601045,1.997774617970577,0
E1,1,512009,1431,1.999865720508807,1.999865720508807,0.9997877406625816,1.9966523336337116,0.00013427949119293459,1.0000019530906683,1.999358736213451,0
E1,1,1000003,1999,1.9989970015067466,1.9989970015067466,0.9998554733383427,1.9967130486761786,0.0010029984932533598,0.9999970000089999,2.000565398485604,0
E1b,1,101,18,1.7910669423779806,1.9900743804199783,0.9656834613069408,1.5916486674823827,0.2089330576220194,0.9900990099009901,1.92490932261543,0
E1b,1,211,28,1.92759949430024,1.92759949430024,0.9772471016607978,1.768815546545123,0.07240050569976009,0.985781990521327,1.9318523842680981,0
E1b,1,401,40,1.997504677755689,1.997504677755689,0.9843845052737767,1.8743119673182407,0.002495322244310927,0.9975062344139651,2.019937686954683,0
E1b,1,1009,62,1.9518485050637318,1.9518485050637318,0.9914521108333528,1.8780378808850358,0.048151494936268247,0.9970267591674926,2.023228014273913,0
E1b,1,2003,88,1.9662656735425081,1.9662656735425081,0.9943761769559707,1.9134755363508127,0.03373432645749186,0.9995007488766849,2.0183190017769155,0
E1b,1,4001,126,1.991985943223621,1.991985943223621,0.9962756419061909,1.9539589072965795,0.008014056776378897,0.9997500624843789,2.0045271111614746,0
E1b,1,8009,178,1.9889820120793145,1.9889820120793145,0.9975603904199657,1.9624023714841918,0.011017987920685535,0.9998751404669747,1.9796026386284964,0
E1b,1,16001,252,1.9921726714828052,1.9921726714828052,0.9983883834575418,1.9734624793156548,0.00782732851719481,0.9999375039060059,1.9919868376140997,0
E1b,1,32003,357,1.9955971284954899,1.9955971284954899,0.9989317489296908,1.9824285756327273,0.004402871504510131,0.9999687529294129,2.008739431592265,0
E1b,1,64007,504,1.9921259844950872,1.9921259844950872,0.9992917752451433,1.9829184294031217,0.007874015504912846,0.9999843767087975,1.9933688539628358,0
E1b,1,128021,715,1.9983218367751925,1.9983218367751925,0.9995266266818186,1.9918188722857133,0.0016781632248075162,0.9999921887815281,2.0005240342139263,0
E1b,1,256019,1011,1.9980900500216843,1.9980900500216843,0.9996836184034306,1.9935243368767142,0.001909949978315728,0.9999960940398954,2.0022253819378832,0
E1b,1,512009,1431,1.999865720508807,1.999865720508807,0.9997877406625816,1.9966523336337116,0.00013427949119293459,0.9999980469093317,2.000641263763661,0
E1b,1,1000003,1999,1.9989970015067466,1.9989970015067466,0.9998554733383427,1.9967130486761786,0.0010029984932533598,0.9999970000089999,2.000565398485604,0
E1c,1,101,18,1.7910669423779806,1.9900743804199783,0.9656834613069408,1.5916486674823827,0.2089330576220194,0.9900990099009901,1.92490932261543,0
E1c,1,211,28,1.92759949430024,1.92759949430024,0.9772471016607978,1.768815546545123,0.07240050569976009,0.995260663507109,2.0111408099548527,0
E1c,1,401,39,1.947567060811797,1.997504677755689,0.9847516453672306,1.830244514899504,0.05243293918820302,0.9975062344139651,2.019937686954683,0
E1c,1,1009,62,1.9518485050637318,1.9518485050637318,0.9914521108333528,1.8780378808850358,0.048151494936268247,0.9970267591674926,2.023228014273913,0
E1c,1,2003,89,1.9886096016509458,1.9886096016509458,0.9943139948237462,1.9346326723201057,0.011390398349054198,1.000499251123315,1.9816795027129799,0
E1c,1,4001,126,1.991985943223621,1.991985943223621,0.9962756419061909,1.9539589072965795,0.008014056776378897,0.9997500624843789,2.0045271111614746,0
E1c,1,8009,178,1.9889820120793145,1.9889820120793145,0.9975603904199657,1.9624023714841918,0.011017987920685535,0.9998751404669747,1.9796026386284964,0
E1c,1,16001,252,1.9921726714828052,1.9921726714828052,0.9983883834575418,1.9734624793156548,0.00782732851719481,0.9999375039060059,1.9919868376140997,0
E1c,1,32003,357,1.9955971284954899,1.9955971284954899,0.9989317489296908,1.9824285756327273,0.004402871504510131,1.0000312470705872,1.9912605625494584,0
E1c,1,64007,505,1.9960786154167045,1.9960786154167045,0.9992903765377591,1.9868345910884457,0.003921384583295495,1.0000156232912025,2.006631144572641,0
E1c,1,128021,715,1.9983218367751925,1.9983218367751925,0.9995266266818186,1.9918188722857133,0.0016781632248075162,0.9999921887815281,2.0005240342139263,0
E1c,1,256019,1011,1.9980900500216843,1.9980900500216843,0.9996836184034306,1.9935243368767142,0.001909949978315728,1.0000039059601045,1.997774617970577,0
E1c,1,512009,1430,1.998468190305796,1.999865720508807,0.9997878887538842,1.9952592884623956,0.0015318096942040782,0.9999980469093317,2.000641263763661,0
E1c,1,1000003,2000,1.99999700000675,1.99999700000675,0.9998554011214851,1.997710763148103,2.9999932500412996e-06,0.999999000003,1.9994226015443959,0
E1d,1,101,18,1.7910669423779806,1.9900743804199783,0.9656834613069408,1.5916486674823827,0.2089330576220194,0.9900990099009901,1.92490932261543,0
E1d,1,211,28,1.92759949430024,1.92759949430024,0.9772471016607978,1.768815546545123,0.07240050569976009,0.985781990521327,1.9318523842680981,0
E1d,1,401,40,1.997504677755689,1.997504677755689,0.9843845052737767,1.8743119673182407,0.002495322244310927,0.9975062344139651,2.019937686954683,0
E1d,1,1009,62,1.9518485050637318,1.9518485050637318,0.9914521108333528,1.8780378808850358,0.048151494936268247,0.9970267591674926,2.023228014273913,0
E1d,1,2003,88,1.9662656735425081,1.9662656735425081,0.9943761769559707,1.9134755363508127,0.03373432645749186,0.9995007488766849,2.0183190017769155,0
E1d,1,4001,126,1.991985943223621,1.991985943223621,0.9962756419061909,1.9539589072965795,0.008014056776378897,0.9997500624843789,2.0045271111614746,0
