block,half_width,lam,mean_abs_A,over_log2half,sigmas
flat_sharp,,0.03,8.607493000900911,24.835974933772412,"[476.0997519493103, -512.0, 704.0]"
flat_sharp,,0.1,4.382368983602267,12.644843999977194,"[-896.0, -573.8692302703857, 256.0]"
flat_sharp,,0.3,2.0166486613438033,5.818818045872144,"[-1120.001708984375, 613.5068798065186, 704.0]"
flat_sharp,,1,0.8011217215446891,2.311548669641904,"[-1120.0, 320.0, -630.7949557304382]"
flat_sharp,,2,0.46890649819368946,1.3529781591692909,"[-892.0625, 320.0, -635.1105268001556]"
flat_sharp,,3,0.3441062809945805,0.992880850259251,"[-669.3125, 448.0, -636.6452832221985]"
flat_sharp,,10,0.13243261636277262,0.3821197577570453,"[-896.0, -320.0, -639.1409182548523]"
flat_sharp,,30,0.049885292719376174,0.14393852883907665,"[-768.0, 385.75, -639.893795967102]"
flat_sharp,,100,0.015631591006202445,0.04510323765170558,"[-895.9453125, 448.0, -639.9569282531738]"
flat_sharp,,1000,0.0015647583715008295,0.004514938285507474,"[-642.2968482971191, -896.0, 192.0]"
flat_sharp,,inf,3.789561257387201e-14,1.0934362466354918e-13,"[-896.0, -576.0, 640.0]"
saturation,10.0,,0.17889019213348925,,
saturation,20.0,,0.28443993446754573,,
saturation,40.0,,0.3886574454608372,,
saturation,80.0,,0.4917982447371969,,
saturation,160.0,,0.5946136110451808,,
saturation,320.0,,0.6976273727808385,,
saturation,640.0,,0.8011172209883171,,
saturation,1280.0,,0.9051799259792338,,
