A_inf,a,b,block,chi,hi,known_spread,lambda_c,"lc_[-14,14]","lc_[-20,6]","lc_[-24,24]","lc_[-6,20]","lc_[-8,8]",lo,max_interior,max_spread,median_spread,min_interior,n_all_interior,n_cycles,n_same_bucket,n_sig,osc,prior,s_max,s_min,same_bucket,spread,triple,width
0.005389322035239508,"(6, 3, 3)","(7, 2, 1)",census,nan,,,,,,,,,,True,,,False,,,,,0.17584210366171693,,-0.5171235991601634,7.734700000000004,,,,
0.002125139351692673,"(7, 2, 1)","(6, 5, 1)",census,nan,,,,,,,,,,False,,,True,,,,,0.16081318088785257,,7.734700000000004,-0.20112454585622713,,,,
0.00829953217151344,"(6, 5, 1)","(6, 3, 3)",census,-0.2894276371469628,,,,,,,,,,True,,,True,,,,,0.06614031291937678,,1.0825302505381633,-1.0538600617567102,,,,
,,,known_support,,8,,230.40816046040067,,,,,,-8,,,,,,,,,,,,,,,,16
,,,known_support,,12,,286.70847617264997,,,,,,-12,,,,,,,,,,,,,,,,24
,,,known_support,,16,,323.07065961213203,,,,,,-16,,,,,,,,,,,,,,,,32
,,,known_support,,24,,371.18555448217694,,,,,,-24,,,,,,,,,,,,,,,,48
,,,known_support,,32,,403.7905109649024,,,,,,-32,,,,,,,,,,,,,,,,64
,,,known_support,,20,,349.9181628643148,,,,,,-6,,,,,,,,,,,,,,,,26
,,,known_support,,6,,184.49442846031195,,,,,,-20,,,,,,,,,,,,,,,,26
,,,known_support,,6,,184.4944310847797,,,,,,-6,,,,,,,,,,,,,,,,12
,,,known_support,,4,,100.2973956329158,,,,,,-4,,,,,,,,,,,,,,,,8
,,,known_support,,6,,184.4944284603153,,,,,,-40,,,,,,,,,,,,,,,,46
,,,known_support,,6,,184.49442881542743,,,,,,-8,,,,,,,,,,,,,,,,14
,,,known_support,,12,,286.70847617264957,,,,,,-40,,,,,,,,,,,,,,,,52
,,,known_support,,12,,286.70847617269425,,,,,,-8,,,,,,,,,,,,,,,,20
,,,known_support,,20,,349.9181628643142,,,,,,-40,,,,,,,,,,,,,,,,60
,,,known_support,,20,,349.918162864314,,,,,,-8,,,,,,,,,,,,,,,,28
,,,known_support,,,,85.79786540601465,,,,,,,,,,,,,,,,gaussian sd=2,,,,,,
,,,known_support,,,,155.11012921595756,,,,,,,,,,,,,,,,gaussian sd=4,,,,,,
,,,known_support,,,,263.1690955249817,,,,,,,,,,,,,,,,gaussian sd=8,,,,,,
,,,known_support,,,,110.53799020660993,,,,,,,,,,,,,,,,logistic sc=2,,,,,,
,,,known_support,,,,231.5968644792936,,,,,,,,,,,,,,,,logistic sc=4,,,,,,
,,,f11_census,,,,,,,,,,,,,,,73,132,73,296,,,,,,,,
,,,f11_lambda_c,,,,,1158.982321551964,1158.9812447634329,1158.9813104757575,1162.129794366055,1159.4132024092598,,,,,,,,,,,,,,True,1.0027166527645275,"(48, 64, 51)",
,,,f11_lambda_c,,,,,1158.982321551964,1158.9812447634329,1158.9813104757575,1162.129794366055,1159.4132024092598,,,,,,,,,,,,,,True,1.0027166527645275,"(48, 64, 57)",
,,,f11_lambda_c,,,,,1158.982321551964,1158.9812447634329,1158.9813104757575,1162.129794366055,1159.4132024092598,,,,,,,,,,,,,,True,1.0027166527645275,"(48, 64, 71)",
,,,f11_lambda_c,,,,,1158.982321551964,1158.9812447634329,1158.9813104757575,1162.129794366055,1159.4132024092598,,,,,,,,,,,,,,True,1.0027166527645275,"(48, 64, 78)",
,,,f11_lambda_c,,,,,1158.982321551964,1158.9812447634329,1158.9813104757575,1162.129794366055,1159.4132024092598,,,,,,,,,,,,,,True,1.0027166527645275,"(48, 64, 79)",
,,,f11_lambda_c,,,,,1158.982321551964,1158.9812447634329,1158.9813104757575,1162.129794366055,1159.4132024092598,,,,,,,,,,,,,,True,1.0027166527645275,"(48, 64, 80)",
,,,f11_lambda_c,,,,,1019.3738601297354,1019.376781489288,1019.3772258919602,1010.4682258122558,1018.1779624854935,,,,,,,,,,,,,,True,1.0088167048227004,"(50, 64, 51)",
,,,f11_lambda_c,,,,,1939.5332305299064,1939.5353111543625,1939.536550510748,1932.9712173769851,1938.6477141994874,,,,,,,,,,,,,,True,1.003396498134448,"(50, 64, 57)",
,,,f11_lambda_c,,,,,391.5926825712734,391.59362206164667,391.59367703191515,388.7536636630228,391.211382040368,,,,,,,,,,,,,,True,1.0073054317794266,"(50, 64, 71)",
,,,f11_lambda_c,,,,,285.10010736626725,280.9510916241637,285.1017740607855,284.23249762188965,284.4324793109649,,,,,,,,,,,,,,True,1.0147736832507996,"(50, 64, 78)",
,,,f11_lambda_c,,,,,874.6981910469264,872.868356823481,874.6989102725028,874.3577843233807,874.410607625021,,,,,,,,,,,,,,True,1.0020971701342039,"(50, 64, 79)",
,,,f11_lambda_c,,,,,884.6807084652013,882.918750408132,884.6814002345462,884.3551323962045,884.4041176362564,,,,,,,,,,,,,,True,1.0019963896175037,"(50, 64, 80)",
,,,f11_lambda_c,,,,,1019.3738601297354,1019.376781489288,1019.3772258919602,1010.4682258122558,1018.1779624854935,,,,,,,,,,,,,,True,1.0088167048227004,"(51, 61, 64)",
,,,f11_lambda_c,,,,,1019.3738601297354,1019.376781489288,1019.3772258919602,1010.4682258122558,1018.1779624854935,,,,,,,,,,,,,,True,1.0088167048227004,"(51, 62, 64)",
,,,f11_lambda_c,,,,,1019.3738601297354,1019.376781489288,1019.3772258919602,1010.4682258122558,1018.1779624854935,,,,,,,,,,,,,,True,1.0088167048227004,"(51, 66, 64)",
,,,f11_lambda_c,,,,,671.9120736085804,667.8471957147335,671.9135193297485,671.5869843578388,671.3335714093186,,,,,,,,,,,,,,True,1.0060887035853512,"(52, 79, 67)",
,,,f11_lambda_c,,,,,725.5113946979267,722.0264293406052,725.5126334808318,725.2368182386123,725.0158474609665,,,,,,,,,,,,,,True,1.0048283608446444,"(52, 80, 67)",
