A1,S_lambda,block,curl_energy_V,cycles_Ainf,cycles_V,diff,direct,disagreements,half_var,lam,max_dev,mean_rate_gap,pair,ratio,signs_agree,via,witness
,,gibbs,,,,,,,,,1.4210854715202004e-14,,,,,,
,,reversible,,,,,,,,,2.220446049250313e-16,,,,,,
,,power_mean,,,,1.0408340855860843e-17,-0.029723328297586546,,,0.25,,,0,,,-0.029723328297586556,
,,power_mean,,,,3.122502256758253e-17,-0.02971435000956262,,,1.0,,,0,,,-0.02971435000956265,
,,power_mean,,,,6.938893903907228e-18,-0.02957162795538079,,,4.0,,,0,,,-0.029571627955380785,
,,power_mean,,,,3.469446951953614e-17,-0.008228383533126302,,,100.0,,,0,,,-0.008228383533126337,
,,power_mean,,,,9.71445146547012e-17,0.029599851315311593,,,0.25,,,1,,,0.029599851315311496,
,,power_mean,,,,8.326672684688674e-17,0.029595917833150392,,,1.0,,,1,,,0.029595917833150475,
,,power_mean,,,,1.734723475976807e-17,0.029533200749332415,,,4.0,,,1,,,0.029533200749332432,
,,power_mean,,,,1.214306433183765e-17,0.015036613252633637,,,100.0,,,1,,,0.015036613252633649,
,,power_mean,,,,3.8163916471489756e-17,-0.011224148589573992,,,0.25,,,2,,,-0.01122414858957403,
,,power_mean,,,,6.938893903907228e-17,-0.011224218343566671,,,1.0,,,2,,,-0.01122421834356674,
,,power_mean,,,,7.979727989493313e-17,-0.011225333342075268,,,4.0,,,2,,,-0.011225333342075348,
,,power_mean,,,,3.642919299551295e-17,-0.01169023797043436,,,100.0,,,2,,,-0.011690237970434397,
,,power_mean,,,,3.198396408832238e-17,-0.0007246977877316972,,,0.25,,,3,,,-0.0007246977877316652,
,,power_mean,,,,6.19079440489223e-17,-0.0007247072364979889,,,1.0,,,3,,,-0.0007247072364980509,
,,power_mean,,,,3.241764495731658e-17,-0.000724858421404254,,,4.0,,,3,,,-0.0007248584214042865,
,,power_mean,,,,2.200930410145574e-17,-0.0008272470273456507,,,100.0,,,3,,,-0.0008272470273456727,
-0.02971435000956262,,lambda1,,,,,,,,,,-0.05951894818105741,,,True,,
0.029595917833150392,,lambda1,,,,,,,,,,0.05927254787837932,,,True,,
-0.011224218343566671,,lambda1,,,,,,,,,,-0.02245063886091314,,,True,,
-0.0007247072364979889,,lambda1,,,,,,,,,,-0.0014494197104046869,,,True,,
,,even,,,,,,,,,2.0469737016526324e-16,,,,,,
,1.370579282410772e-07,lossless,,,,,,,0.0013705827978220736,0.0001,,,,0.001370579282410772,,,
,1.3705826922543601e-06,lossless,,,,,,,0.0013705827978220736,0.001,,,,0.0013705826922543601,,,
,1.3705827682383709e-05,lossless,,,,,,,0.0013705827978220736,0.01,,,,0.0013705827682383709,,,
,0.00013705798777366787,lossless,,,,,,,0.0013705827978220736,0.1,,,,0.0013705798777366787,,,
,0.0013702909238831641,lossless,,,,,,,0.0013705827978220736,1.0,,,,0.0013702909238831641,,,
,0.013426656672663512,lossless,,,,,,,0.0013705827978220736,10.0,,,,0.0013426656672663512,,,
,0.0661541910228285,lossless,,,,,,,0.0013705827978220736,100.0,,,,0.0006615419102282851,,,
,0.08758229350453046,lossless,,,,,,,0.0013705827978220736,10000.0,,,,8.758229350453046e-06,,,
,,condorcet,0.4094210113489763,132,0,,,29267,,,,,,,,,
,,V_not_A,,,,,,,,0.5,,,,,,,"(0.5, -0.8219960721299768, -0.007137851405819966, 1.0282929133776774e-05)"
,,V_not_A,,,,,,,,2,,,,,,,"(2.0, -0.8219960721299768, -0.007138078730148802, 1.031342657367056e-05)"
,,V_not_A,,,,,,,,10,,,,,,,"(10.0, -0.8219960721299768, -0.007143877076528179, 1.1094378747913623e-05)"
,,V_not_A,,,,,,,,1000,,,,,,,"(1000.0, -0.8644884841992502, -0.009384980780590474, 0.0014608575800350212)"
,,V_not_A,,,,,,,,inf,,,,,,,"(None, -0.8727013033386896, -0.007946360807996822, 1.6048159793058403e-05)"
