implementer / implemented,<x^2>,<xy>,<x^2+y^2>,<xy;x^2>,<y^2;x^2>,<-x^2+y^2;xy>
<x^2>,1.000000000000000,0.630929753571457,0.630929753571457,0.500000000000000,0.500000000000000,0.430676558073393
<xy>,0.897377759644884,1.000000000000000,0.996599956917753,0.792481250360578,0.792481250360578,0.682606194485985
<x^2+y^2>,0.773705614469083,0.861353116146786,1.000000000000000,0.792481250360578,0.792481250360578,0.682606194485985
<xy;x^2>,0.613147192765458,0.682606194485985,0.755027345471598,1.000000000000000,0.792481250360578,0.861353116146786
<y^2;x^2>,0.773705614469083,0.861353116146786,0.904077108753067,0.985905476624947,1.000000000000000,0.861353116146786
<-x^2+y^2;xy>,0.386852807234542,0.430676558073393,0.500000000000000,0.630929753571457,0.500000000000000,1.000000000000000
