length,geometric_mean,product,cycle
2,1.000000000000000,1.000000000000000,10 -> -10 -> 10
3,1.000000000000000,1.000000000000000,-2 -> -10 -> 10 -> -2
4,1.000000000000000,1.000000000000000,2 -> -10 -> 10 -> -2 -> 2
5,0.999927482272658,0.999637463947687,2 -> -10 -> 10 -> 5 -> -2 -> 2
6,0.999939568195343,0.999637463947687,1 -> -10 -> 10 -> -2 -> 2 -> 5 -> 1
7,0.992340226759842,0.947598092367775,1 -> -5 -> -10 -> 10 -> -2 -> 2 -> 5 -> 1
