beta,log_Z,energy,entropy,log_Z_second_derivative
-12.000000000000000,3.039066704134884,0.469697464657151,-2.597302871750927,0.029492658607376
-11.875000000000000,2.980585412821128,0.465999345204297,-2.553156811479897,0.029677514174769
-11.750000000000000,2.922567834707563,0.462278020795593,-2.509198909640654,0.029863937331232
-11.625000000000000,2.865016882650770,0.458533295721263,-2.465432680108910,0.030051924051337
-11.500000000000000,2.807935493936381,0.454764974852408,-2.421861716866307,0.030241469055945
-11.375000000000000,2.751326630196508,0.450972863801707,-2.378489695547904,0.030432565748118
-11.250000000000000,2.695193277306579,0.447156769092240,-2.335320374981122,0.030625206147235
-11.125000000000000,2.639538445260553,0.443316498334661,-2.292357598712553,0.030819380821347
-11.000000000000000,2.584365168023457,0.439451860412928,-2.249605296518752,0.031015078817814
-10.875000000000000,2.529676503360156,0.435562665678813,-2.207067485896936,0.031212287592279
-10.750000000000000,2.475475532639257,0.431648726155389,-2.164748273531179,0.031410992936055
-10.625000000000000,2.421765360610994,0.427709855749691,-2.122651856729467,0.031611178901981
-10.500000000000000,2.368549115157965,0.423745870474728,-2.080782524826679,0.031812827728867
-10.375000000000000,2.315829947017506,0.419756588681037,-2.039144660548256,0.032015919764596
-10.250000000000000,2.263611029474527,0.415741831297913,-1.997742741329084,0.032220433388029
-10.125000000000000,2.211895558023581,0.411701422084476,-1.956581340581740,0.032426344929817
-10.000000000000000,2.160686749998924,0.407635187890696,-1.915665128908033,0.032633628592289
-9.875000000000000,2.109987844171317,0.403542958928481,-1.874998875247436,0.032842256368547
-9.750000000000000,2.059802100310322,0.399424569052923,-1.834587447955678,0.033052197960977
-9.625000000000000,2.010132798710786,0.395279856053747,-1.794435815806533,0.033263420699332
-9.500000000000000,1.960983239682265,0.391108661957027,-1.754549048909494,0.033475889458631
-9.375000000000000,1.912356743000090,0.386910833337155,-1.714932319535738,0.033689566577073
-9.250000000000000,1.864256647316794,0.382686221639062,-1.675590902844534,0.033904411774233
-9.125000000000000,1.816686309532622,0.378434683510635,-1.636530177501921,0.034120382069793
-9.000000000000000,1.769649104123865,0.374156081145237,-1.597755626183264,0.034337431703086
-8.875000000000000,1.723148422427741,0.369850282634225,-1.559272835951008,0.034555512053771
-8.750000000000000,1.677187671882599,0.365517162329296,-1.521087498498740,0.034774571563946
-8.625000000000000,1.631770275222236,0.361156601214453,-1.483205410252420,0.034994555662051
-8.500000000000000,1.586899669623111,0.356768487287364,-1.445632472319481,0.035215406688908
-8.375000000000000,1.542579305803334,0.352352715949804,-1.408374690276274,0.035437063826293
-8.250000000000000,1.498812647072288,0.347909190406852,-1.371438173784245,0.035659463028420
-8.125000000000000,1.455603168329828,0.343437822074447,-1.334829136025054,0.035882536956771
-8.000000000000000,1.412954355014042,0.338938530994855,-1.298553892944801,0.036106214918694
-7.875000000000000,1.370869701996600,0.334411246259562,-1.262618862297450,0.036330422810215
-7.750000000000000,1.329352712424808,0.329855906439015,-1.227030562477561,0.036555083063546
-7.625000000000000,1.288406896509556,0.325272460018620,-1.191795611132423,0.036780114599751
-7.500000000000000,1.248035770258403,0.320660865840296,-1.156920723543819,0.037005432787072
-7.375000000000000,1.208242854153157,0.316021093548868,-1.122412710769742,0.037230949405420
-7.250000000000000,1.169031671771402,0.311353124042479,-1.088278477536572,0.037456572617534
-7.125000000000000,1.130405748351510,0.306656949926173,-1.054525019872470,0.037682206947338
-7.000000000000000,1.092368609300810,0.301932575967692,-1.021159422473034,0.037907753266021
-6.875000000000000,1.054923778646695,0.297180019554520,-0.988188855790633,0.038133108786349
-6.750000000000000,1.018074777430571,0.292399311151081,-0.955620572839228,0.038358167065769
-6.625000000000000,0.981825122044712,0.287590494754981,-0.923461905707037,0.038582818018786
-6.500000000000000,0.946178322512204,0.282753628351093,-0.891720261769898,0.038806947939166
-6.375000000000000,0.911137880710320,0.277888784362227,-0.860403119598876,0.039030439532443
-6.250000000000000,0.876707288537860,0.272996050095069,-0.829518024556323,0.039253171959230
-6.125000000000000,0.842890026027100,0.268075528180003,-0.799072584075421,0.039475020889816
-6.000000000000000,0.809689559401230,0.263127337003380,-0.769074462619053,0.039695858570472
-5.875000000000000,0.777109339078301,0.258151611130747,-0.739531376314836,0.039915553901922
-5.750000000000000,0.745152797622922,0.253148501719481,-0.710451087264096,0.040133972530346
-5.625000000000000,0.713823347647111,0.248118176919257,-0.681841397523709,0.040350976951279
-5.500000000000000,0.683124379661945,0.243060822258689,-0.653710142760845,0.040566426626732
-5.375000000000000,0.653059259881821,0.237976641016507,-0.626065185581903,0.040780178115789
-5.250000000000000,0.623631327983381,0.232865854575542,-0.598914408538213,0.040992085218916
-5.125000000000000,0.594843894821351,0.227728702757815,-0.572265706812450,0.041201999136155
-5.000000000000000,0.566700240103763,0.222565444138974,-0.546126980591108,0.041409768639290
-4.875000000000000,0.539203610029261,0.217376356340336,-0.520506127129876,0.041615240258063
-4.750000000000000,0.512357214889383,0.212161736296769,-0.495411032520271,0.041818258480401
-4.625000000000000,0.486164226638970,0.206921900498685,-0.470849563167450,0.042018665966566
-4.500000000000000,0.460627776438024,0.201657185206391,-0.446829556990736,0.042216303777081
-4.375000000000000,0.435750952168598,0.196367946635106,-0.423358814359992,0.042411011614166
-4.250000000000000,0.411536795930469,0.191054561108972,-0.400445088782662,0.042602628076384
-4.125000000000000,0.387988301519596,0.185717425182424,-0.378096077357903,0.042790990926077
-4.000000000000000,0.365108411893515,0.180356955727360,-0.356319411015926,0.042975937369121
-3.875000000000000,0.342900016628060,0.174973589984601,-0.335122644562270,0.043157304346401
-3.750000000000000,0.321365949369965,0.169567785578217,-0.314513246548347,0.043334928836366
-3.625000000000000,0.300508985290053,0.164140020491377,-0.294498588991189,0.043508648167909
-3.500000000000000,0.280331838541922,0.158690793002496,-0.275085936966813,0.043678300342728
-3.375000000000000,0.260837159731153,0.153220621580528,-0.256282438103129,0.043843724366267
-3.250000000000000,0.242027533400212,0.147730044738421,-0.238095111999656,0.044004760586218
-3.125000000000000,0.223905475534328,0.142219620843830,-0.220530839602642,0.044161251037509
-3.000000000000000,0.206473431093750,0.136689927886372,-0.203596352565367,0.044313039792633
-2.875000000000000,0.189733771577836,0.131141563200811,-0.187298222624496,0.044459973316061
-2.750000000000000,0.173688792626530,0.125575143145758,-0.171642851024303,0.044601900821469
-2.625000000000000,0.158340711664792,0.119991302737611,-0.156636458021437,0.044738674630417
-2.500000000000000,0.143691665595587,0.114390695239644,-0.142285072503524,0.044870150531059
-2.375000000000000,0.129743708547043,0.108773991706327,-0.128594521755485,0.044996188135446
-2.250000000000000,0.116498809679349,0.103141880483153,-0.115570421407744,0.045116651233918
-2.125000000000000,0.103958851056937,0.097495066662421,-0.103218165600708,0.045231408145071
-2.000000000000000,0.092125625591404,0.091834271495641,-0.091542917399877,0.045340332059746
-1.875000000000000,0.081000835060564,0.086160231763380,-0.080549599495774,0.045443301377510
-1.750000000000000,0.070586088208859,0.080473699103612,-0.070242885222462,0.045540200034058
-1.625000000000000,0.060882898934273,0.074775439299778,-0.060627189927866,0.045630917818010
-1.500000000000000,0.051892684566677,0.069066231530001,-0.051706662728324,0.045715350675580
-1.375000000000000,0.043616764242360,0.063346867579038,-0.043485178678818,0.045793401001647
-1.250000000000000,0.036056357379318,0.057618151014790,-0.035966331389170,0.045864977915764
-1.125000000000000,0.029212582257577,0.051880896331309,-0.029153426115146,0.045929997521744
-1.000000000000000,0.023086454708636,0.046135928060463,-0.023049473351827,0.045988383149496
-0.875000000000000,0.017678886917783,0.040384079854540,-0.017657182954940,0.046040065577855
-0.750000000000000,0.012990686342781,0.034626193542254,-0.012978958813909,0.046084983237276
-0.625000000000000,0.009022554752079,0.028863118160718,-0.009016894098370,0.046123082391291
-0.375000000000000,0.003248772239100,0.017324826425923,-0.003248037670621,0.046178650335358
-0.250000000000000,0.001443989478711,0.011551335195491,-0.001443844320161,0.046196052135635
-0.125000000000000,0.000361010979941,0.005776103082188,-0.000361001905333,0.046206501651607
0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.046209986230838
0.125000000000000,0.000361010979941,-0.005776103082188,-0.000361001905333,0.046206501651607
0.250000000000000,0.001443989478711,-0.011551335195491,-0.001443844320161,0.046196052135635
0.375000000000000,0.003248772239100,-0.017324826425923,-0.003248037670621,0.046178650335358
0.625000000000000,0.009022554752079,-0.028863118160718,-0.009016894098370,0.046123082391291
0.750000000000000,0.012990686342781,-0.034626193542254,-0.012978958813909,0.046084983237276
0.875000000000000,0.017678886917783,-0.040384079854540,-0.017657182954940,0.046040065577855
1.000000000000000,0.023086454708636,-0.046135928060463,-0.023049473351827,0.045988383149496
1.125000000000000,0.029212582257577,-0.051880896331309,-0.029153426115146,0.045929997521744
1.250000000000000,0.036056357379318,-0.057618151014790,-0.035966331389170,0.045864977915764
1.375000000000000,0.043616764242360,-0.063346867579038,-0.043485178678818,0.045793401001647
1.500000000000000,0.051892684566677,-0.069066231530001,-0.051706662728324,0.045715350675580
1.625000000000000,0.060882898934273,-0.074775439299778,-0.060627189927866,0.045630917818010
1.750000000000000,0.070586088208859,-0.080473699103612,-0.070242885222462,0.045540200034058
1.875000000000000,0.081000835060564,-0.086160231763380,-0.080549599495774,0.045443301377510
2.000000000000000,0.092125625591404,-0.091834271495641,-0.091542917399877,0.045340332059746
2.125000000000000,0.103958851056937,-0.097495066662421,-0.103218165600708,0.045231408145071
2.250000000000000,0.116498809679349,-0.103141880483153,-0.115570421407744,0.045116651233918
2.375000000000000,0.129743708547043,-0.108773991706327,-0.128594521755485,0.044996188135446
2.500000000000000,0.143691665595587,-0.114390695239644,-0.142285072503524,0.044870150531059
2.625000000000000,0.158340711664792,-0.119991302737611,-0.156636458021437,0.044738674630417
2.750000000000000,0.173688792626530,-0.125575143145758,-0.171642851024303,0.044601900821469
2.875000000000000,0.189733771577836,-0.131141563200811,-0.187298222624496,0.044459973316061
3.000000000000000,0.206473431093750,-0.136689927886372,-0.203596352565367,0.044313039792633
3.125000000000000,0.223905475534328,-0.142219620843830,-0.220530839602642,0.044161251037509
3.250000000000000,0.242027533400212,-0.147730044738421,-0.238095111999656,0.044004760586218
3.375000000000000,0.260837159731153,-0.153220621580528,-0.256282438103129,0.043843724366267
