n,k_max,c_n,candidate_curve_count,candidate_curve_ids,minimum_cover_curve_id,color
55,34,0.618181818181818,7,e_p1_1__d_p21_1;e_p1_2__d_m13_2;e_p2_3__d_p8_3;e_p5_8__d_p3_8;e_p12_19__d_p14_19;e_p41_65__d_p9_13;e_p53_84__d_p59_84,e_p5_8__d_p3_8,#2dd4bf
56,35,0.625000000000000,7,e_p1_1__d_p21_1;e_p1_2__d_m7_1;e_p2_3__d_p7_3;e_p5_8__d_p0_1;e_p12_19__d_p7_19;e_p41_65__d_p21_65;e_p53_84__d_p1_3,e_p5_8__d_p0_1,#c084fc
57,35,0.614035087719298,7,e_p1_1__d_p22_1;e_p1_2__d_m13_2;e_p2_3__d_p3_1;e_p5_8__d_p5_8;e_p12_19__d_p1_1;e_p41_65__d_p62_65;e_p53_84__d_p27_28,e_p5_8__d_p5_8,#a78bfa
58,36,0.620689655172414,7,e_p1_1__d_p22_1;e_p1_2__d_m7_1;e_p2_3__d_p8_3;e_p5_8__d_p1_4;e_p12_19__d_p12_19;e_p41_65__d_p38_65;e_p53_84__d_p25_42,e_p5_8__d_p1_4,#f472b6
59,37,0.627118644067797,7,e_p1_1__d_p22_1;e_p1_2__d_m15_2;e_p2_3__d_p7_3;e_p5_8__d_m1_8;e_p12_19__d_p5_19;e_p41_65__d_p14_65;e_p53_84__d_p19_84,e_p5_8__d_m1_8,#fb923c
60,37,0.616666666666667,7,e_p1_1__d_p23_1;e_p1_2__d_m7_1;e_p2_3__d_p3_1;e_p5_8__d_p1_2;e_p12_19__d_p17_19;e_p41_65__d_p11_13;e_p53_84__d_p6_7,e_p5_8__d_p1_2,#60a5fa
61,38,0.622950819672131,7,e_p1_1__d_p23_1;e_p1_2__d_m15_2;e_p2_3__d_p8_3;e_p5_8__d_p1_8;e_p12_19__d_p10_19;e_p41_65__d_p31_65;e_p53_84__d_p41_84,e_p5_8__d_p1_8,#fb7185
62,39,0.629032258064516,7,e_p1_1__d_p23_1;e_p1_2__d_m8_1;e_p2_3__d_p7_3;e_p5_8__d_m1_4;e_p12_19__d_p3_19;e_p41_65__d_p7_65;e_p53_84__d_p5_42,e_p5_8__d_m1_4,#4ade80
63,39,0.619047619047619,7,e_p1_1__d_p24_1;e_p1_2__d_m15_2;e_p2_3__d_p3_1;e_p5_8__d_p3_8;e_p12_19__d_p15_19;e_p41_65__d_p48_65;e_p53_84__d_p3_4,e_p5_8__d_p3_8,#2dd4bf
64,40,0.625000000000000,7,e_p1_1__d_p24_1;e_p1_2__d_m8_1;e_p2_3__d_p8_3;e_p5_8__d_p0_1;e_p12_19__d_p8_19;e_p41_65__d_p24_65;e_p53_84__d_p8_21,e_p5_8__d_p0_1,#c084fc
65,41,0.630769230769231,7,e_p1_1__d_p24_1;e_p1_2__d_m17_2;e_p2_3__d_p7_3;e_p5_8__d_m3_8;e_p12_19__d_p1_19;e_p41_65__d_p0_1;e_p53_84__d_p1_84,e_p5_8__d_m3_8,#818cf8
66,41,0.621212121212121,7,e_p1_1__d_p25_1;e_p1_2__d_m8_1;e_p2_3__d_p3_1;e_p5_8__d_p1_4;e_p12_19__d_p13_19;e_p41_65__d_p41_65;e_p53_84__d_p9_14,e_p5_8__d_p1_4,#f472b6
67,42,0.626865671641791,7,e_p1_1__d_p25_1;e_p1_2__d_m17_2;e_p2_3__d_p8_3;e_p5_8__d_m1_8;e_p12_19__d_p6_19;e_p41_65__d_p17_65;e_p53_84__d_p23_84,e_p5_8__d_m1_8,#fb923c
68,42,0.617647058823529,7,e_p1_1__d_p26_1;e_p1_2__d_m8_1;e_p2_3__d_p10_3;e_p5_8__d_p1_2;e_p12_19__d_p18_19;e_p41_65__d_p58_65;e_p53_84__d_p19_21,e_p5_8__d_p1_2,#60a5fa
69,43,0.623188405797101,7,e_p1_1__d_p26_1;e_p1_2__d_m17_2;e_p2_3__d_p3_1;e_p5_8__d_p1_8;e_p12_19__d_p11_19;e_p41_65__d_p34_65;e_p53_84__d_p15_28,e_p5_8__d_p1_8,#fb7185
70,44,0.628571428571429,7,e_p1_1__d_p26_1;e_p1_2__d_m9_1;e_p2_3__d_p8_3;e_p5_8__d_m1_4;e_p12_19__d_p4_19;e_p41_65__d_p2_13;e_p53_84__d_p1_6,e_p5_8__d_m1_4,#4ade80
71,44,0.619718309859155,7,e_p1_1__d_p27_1;e_p1_2__d_m17_2;e_p2_3__d_p10_3;e_p5_8__d_p3_8;e_p12_19__d_p16_19;e_p41_65__d_p51_65;e_p53_84__d_p67_84,e_p5_8__d_p3_8,#2dd4bf
72,45,0.625000000000000,7,e_p1_1__d_p27_1;e_p1_2__d_m9_1;e_p2_3__d_p3_1;e_p5_8__d_p0_1;e_p12_19__d_p9_19;e_p41_65__d_p27_65;e_p53_84__d_p3_7,e_p5_8__d_p0_1,#c084fc
73,46,0.630136986301370,7,e_p1_1__d_p27_1;e_p1_2__d_m19_2;e_p2_3__d_p8_3;e_p5_8__d_m3_8;e_p12_19__d_p2_19;e_p41_65__d_p3_65;e_p53_84__d_p5_84,e_p5_8__d_m3_8,#818cf8
74,46,0.621621621621622,7,e_p1_1__d_p28_1;e_p1_2__d_m9_1;e_p2_3__d_p10_3;e_p5_8__d_p1_4;e_p12_19__d_p14_19;e_p41_65__d_p44_65;e_p53_84__d_p29_42,e_p5_8__d_p1_4,#f472b6
75,47,0.626666666666667,7,e_p1_1__d_p28_1;e_p1_2__d_m19_2;e_p2_3__d_p3_1;e_p5_8__d_m1_8;e_p12_19__d_p7_19;e_p41_65__d_p4_13;e_p53_84__d_p9_28,e_p5_8__d_m1_8,#fb923c
