implementer g / implemented f,topological_rank,topological_layer,scc,scc_size,{1},{2},"{1,1}",{3},"{1,1,1}",{4},"{1,1,1,1}",{5},{6},"{2,1}","{2,2}","{3,1}","{2,1,1}","{3,2}","{2,2,1}","{3,3}","{2,1,1,1}","{2,2,2}","{4,1}","{2,2,1,1}","{4,2}","{2,2,2,1}","{4,3}","{2,2,2,2}","{5,1}","{4,4}","{5,2}","{5,3}","{5,4}","{5,5}","{6,1}","{6,2}","{6,3}","{6,4}","{6,5}","{6,6}","{3,1,1}","{3,2,1}","{3,2,2}","{3,3,1}","{3,3,2}","{3,3,3}","{3,1,1,1}","{4,1,1}","{3,2,1,1}","{4,2,1}","{3,2,2,1}","{4,2,2}","{3,2,2,2}","{4,3,1}","{3,3,1,1}","{4,3,2}","{3,3,2,1}","{4,4,1}","{3,3,2,2}","{3,3,3,1}","{3,3,3,2}","{4,3,3}","{4,4,2}","{4,4,3}","{4,4,4}","{5,1,1}","{5,2,1}","{5,2,2}","{5,3,1}","{5,3,2}","{3,3,3,3}","{4,1,1,1}","{5,4,1}","{5,3,3}","{5,4,2}","{4,2,1,1}","{5,5,1}","{5,4,3}","{4,2,2,1}","{5,5,2}","{5,4,4}","{5,5,3}","{4,3,1,1}","{4,2,2,2}","{5,5,4}","{4,3,2,1}","{4,3,2,2}","{5,5,5}","{4,3,3,1}","{4,4,1,1}","{4,3,3,2}","{4,4,2,1}","{4,3,3,3}","{4,4,2,2}","{4,4,3,1}","{4,4,3,2}","{4,4,4,1}","{4,4,3,3}","{4,4,4,2}","{4,4,4,3}","{4,4,4,4}"
"{4,3,2,1}",82,43,58,1,inf,2.000000000000000,2.000000000000000,1.261859507142914,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.633765655552207,1.261859507142914,1.261859507142915,1.261859507142914,1.261859507142915,1.152749231332985,1.000000000000000,1.252514446227352,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,0.940062752352816,0.861353116146786,0.861353116146786,0.858574991839820,0.820264729000201,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.769152343973158,0.742282027288687,1.261859507142914,1.261859507142914,1.183276357664554,1.149185518180758,1.097797306810684,1.030791362451064,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.939938761945992,0.986856666880606,0.995530658507852,0.958153904601135,0.963124883579254,0.936048390577612,0.912311196891513,0.874864946898867,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.926603397470433,1.000000000000000,0.858574374995899,0.861353116146786,0.858477095530360,1.000000000000000,0.820255186682705,0.854429079290379,1.000000000000000,0.819864304367391,0.832179559399700,0.815876779020354,1.000000000000000,0.991144439362031,0.800689044382064,1.000000000000000,0.960078563157422,0.776812931117884,0.955881481912457,0.939804108467373,0.925941285747141,0.935511804688793,0.895668592695909,0.921489901861789,0.909512299354510,0.891598625640953,0.872831835715084,0.866053739727380,0.860444864029528,0.839695512606423,0.816882827776103
"{4,3,2,2}",83,44,59,1,inf,2.000000000000000,2.000000000000000,1.261859507142914,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.679597030658675,1.261859507142914,1.261859507142915,1.261859507142914,1.261859507142915,1.161424488990951,1.000000000000000,1.261859507142915,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,0.943363273267401,0.861353116146786,0.861353116146786,0.858964049093290,0.822001156858649,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.769581528156161,0.743368355270702,1.261859507142914,1.261859507142914,1.231342021625391,1.160359467096191,1.130071574976589,1.059707740652829,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.943321791446971,1.000000000000000,1.000000000000000,0.995927367687720,0.978636085818266,0.941491776278793,0.925109342660768,0.888083369440273,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.964941469568086,1.000000000000000,0.858963876494995,0.861353116146786,0.858920578709913,1.000000000000000,0.821997878105835,0.857138895111111,1.000000000000000,0.821801575853253,0.840018260514896,0.819449473908014,1.000000000000000,1.000000000000000,0.807722262940898,1.000000000000000,1.000000000000000,0.784302674357177,0.977618440868649,0.943279085950334,0.960912280925760,0.941406608696854,0.928764670328089,0.938377460200302,0.924580143892488,0.916808789179256,0.887560598159059,0.893694303985568,0.881636013991975,0.864162973978739,0.839798515329338
"{5,5,5}",84,45,40,1,inf,2.321928094887362,1.584962500721156,1.464973520717927,1.000000000000000,1.160964047443681,0.792481250360578,1.000000000000000,0.898244401703927,1.584962500721156,1.584962500721156,1.464973520717927,1.000000000000000,1.464973520717927,1.000000000000000,1.464973520717927,0.792481250360578,1.000000000000000,1.160964047443681,0.792481250360578,1.160964047443681,0.792481250360578,1.160964047443681,0.792481250360578,1.000000000000000,1.160964047443681,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.898244401703927,0.898244401703927,0.898244401703927,0.898244401703927,0.898244401703927,0.898244401703927,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.792481250360578,1.000000000000000,0.792481250360578,1.000000000000000,0.792481250360578,1.000000000000000,0.792481250360578,1.000000000000000,0.792481250360578,1.000000000000000,0.792481250360578,1.000000000000000,0.792481250360578,0.792481250360578,0.792481250360578,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.792481250360578,0.792481250360578,1.000000000000000,1.000000000000000,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,0.792481250360578,1.000000000000000,1.000000000000000,1.000000000000000,0.792481250360578,0.792481250360578,1.000000000000000,0.792481250360578,0.792481250360578,1.000000000000000,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578,0.792481250360578
"{4,3,3,1}",85,46,60,1,inf,2.000000000000000,2.000000000000000,1.261859507142914,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.709031721638140,1.261859507142914,1.261859507142915,1.261859507142914,1.261859507142915,1.183152663792744,1.000000000000000,1.261859507142915,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,0.956096508561314,0.861353116146786,0.861353116146786,0.861194657068887,0.830798813780971,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.772727211309485,0.750068220333794,1.261859507142914,1.261859507142914,1.228705248462362,1.182888822734017,1.148375829158932,1.078278962978956,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.956093639065523,1.000000000000000,1.000000000000000,0.987670158182194,1.000000000000000,0.955694841386525,0.945583850126818,0.908316233693512,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.962137127626103,1.000000000000000,0.861194657068763,0.861353116146786,0.861194646898999,1.000000000000000,0.830798720570280,0.861186337361349,1.000000000000000,0.830776250564639,0.855554461719057,0.830171187837186,1.000000000000000,1.000000000000000,0.823116831374357,1.000000000000000,0.991676183829662,0.800362326392233,1.000000000000000,0.956090755337595,0.964397498958965,0.955690607271268,0.934804902678561,0.955178404688740,0.945353610508211,0.932608446005953,0.907865077246388,0.905723338692771,0.899802935547478,0.878451458177458,0.854515860819070
"{4,4,1,1}",86,47,63,1,inf,2.000000000000000,2.000000000000000,1.261859507142915,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.658928678299398,1.261859507142915,1.261859507142915,1.261859507142915,1.261859507142915,1.217941181150113,1.000000000000000,1.236221861873571,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,1.261859507142915,1.255326136094498,1.176119464994473,1.183241945308755,1.107289241318832,1.046667462192063,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.992648154858727,1.000000000000000,1.000000000000000,1.000000000000000,0.998944585012856,1.000000000000000,0.973401275557541,0.981974544569777,0.947885938378872,0.992282139092356,0.983454392281873,0.946318111631844,0.908809936419733,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.920886362903595,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,0.977638559203184,0.841659817284343,0.986365348234749,0.951371563197329,0.816657566611107,0.957117778670418,1.000000000000000,0.923213503852756,0.959531024568546,0.896421925362761,0.925164462398482,0.926624415281350,0.897400912031014,0.896142658286215,0.872470110801692,0.872357003840945,0.850008902356283,0.829464339149699
"{4,3,3,2}",87,48,61,1,inf,2.000000000000000,2.000000000000000,1.261859507142914,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.743828668994750,1.261859507142914,1.261859507142915,1.261859507142914,1.261859507142915,1.185157327495689,1.000000000000000,1.261859507142915,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,0.956625194343434,0.861353116146786,0.861353116146786,0.861195107761616,0.831036822652174,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.772733969909237,0.750205111700751,1.261859507142914,1.261859507142914,1.261859507142914,1.185028959014337,1.171486914705622,1.100233392399700,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.956623354139312,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.956318408807004,0.948732456120055,0.913653795303270,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.996176925385008,1.000000000000000,0.861195107761497,0.861353116146786,0.861195097813403,1.000000000000000,0.831036756926688,0.861186906386376,1.000000000000000,0.831018573349266,0.856280845206174,0.830498065907271,1.000000000000000,1.000000000000000,0.824375606297387,1.000000000000000,1.000000000000000,0.802411459068676,1.000000000000000,0.956621508413601,1.000000000000000,0.956315986101779,0.966486995515523,0.955956745171905,0.948697689751559,0.946933741984131,0.913563287310538,0.928865931952869,0.911234716059395,0.897277533766570,0.871914334497375
"{4,4,2,1}",88,49,64,1,inf,2.000000000000000,2.000000000000000,1.261859507142915,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.722691414824248,1.261859507142915,1.261859507142915,1.261859507142915,1.261859507142915,1.232202616995195,1.000000000000000,1.261767619319753,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,1.261859507142915,1.261859507142915,1.224191975960413,1.226294082527999,1.152786215948084,1.086897269834728,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.998973814982282,1.000000000000000,0.983523317812530,1.000000000000000,1.000000000000000,0.972079222751573,0.932250980294124,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.958894213753428,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,1.000000000000000,0.855720534768555,1.000000000000000,0.987528940400135,0.830106487505187,0.995783115124573,1.000000000000000,0.961793266155100,1.000000000000000,0.934212335361332,0.964172853794422,0.963462689219872,0.934870415905867,0.927353470432307,0.908433809186694,0.907066349145026,0.883789038408935,0.861345707412124
"{4,3,3,3}",89,50,62,1,inf,2.000000000000000,2.000000000000000,1.261859507142914,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.792481250360578,1.261859507142914,1.261859507142915,1.261859507142914,1.261859507142915,1.197240376105930,1.000000000000000,1.261859507142915,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,0.962788515212942,0.861353116146786,0.861353116146786,0.861324280106297,0.835085372252391,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773314452827490,0.753212749303015,1.261859507142914,1.261859507142914,1.261859507142914,1.197226393399742,1.193358737814871,1.130929753571457,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.962788396120782,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.962721389689762,0.959454652467491,0.928759640615413,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,1.000000000000000,0.861324280106297,0.861353116146786,0.861324280084900,1.000000000000000,0.835085369392933,0.861324063354615,1.000000000000000,0.835082572353529,0.860316905386262,0.834921141953412,1.000000000000000,1.000000000000000,0.831707956411399,1.000000000000000,1.000000000000000,0.812039425789605,1.000000000000000,0.962788276994385,1.000000000000000,0.962721259774759,1.000000000000000,0.962650989953341,0.959453784807267,0.959257332088235,0.928752438966245,0.952959343204322,0.928229586714163,0.921047319707064,0.896240625180289
"{4,4,2,2}",90,51,65,1,inf,2.000000000000000,2.000000000000000,1.261859507142915,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.772907804780652,1.261859507142915,1.261859507142915,1.261859507142915,1.261859507142915,1.237305474076965,1.000000000000000,1.261859507142915,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,1.261859507142915,1.261859507142915,1.261684120634835,1.236482763963546,1.191160589083406,1.118580284375170,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.985253640474369,0.945278842341865,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.992326603795385,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,1.000000000000000,0.860660175627504,1.000000000000000,1.000000000000000,0.835807176402282,1.000000000000000,1.000000000000000,0.996134899800732,1.000000000000000,0.968734496619537,1.000000000000000,0.984119603503028,0.967319312538179,0.944225653121184,0.939404875555931,0.933570296579330,0.911229517092750,0.886453902390326
"{4,4,3,1}",91,52,66,1,inf,2.000000000000000,2.000000000000000,1.261859507142915,1.261859507142915,1.000000000000000,1.000000000000000,0.861353116146786,0.773705614469083,2.000000000000000,1.787998821505075,1.261859507142915,1.261859507142915,1.261859507142915,1.261859507142915,1.247830910137772,1.000000000000000,1.261859507142915,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,0.773705614469083,1.261859507142915,1.261859507142915,1.253277515173561,1.247813653931634,1.194873904503390,1.128101655838253,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.998990993724993,1.000000000000000,1.000000000000000,1.000000000000000,0.960443040087540,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.861353116146786,0.984486722227781,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,1.000000000000000,0.861353116146786,0.861353116146786,0.861353116146786,1.000000000000000,1.000000000000000,0.861353116146786,1.000000000000000,1.000000000000000,0.845737568617380,1.000000000000000,1.000000000000000,0.988249884018972,1.000000000000000,0.965019850609013,0.992054162639704,1.000000000000000,0.967519682175048,0.959423705896153,0.941448984112761,0.941224800060463,0.917035590633656,0.893999410752538
