window_low,window_high,p,K,C_xi_to_P,C_P_to_xi,product,d
0.5,5.0,2,1,0.006552397946,6.169941909370,0.040427914693,3.208234774869
0.5,5.0,2,2,0.003889409352,12.287254342076,0.047790161950,3.040935477615
0.5,5.0,2,4,0.002386691596,24.518592540506,0.058518318773,2.838415432350
0.5,5.0,2,8,0.001460081104,48.981161390773,0.071516468202,2.637827531301
0.5,5.0,2,16,0.000852999194,97.906298986129,0.083513994086,2.482741067320
0.5,5.0,2,32,0.000468823991,195.756574176841,0.091775378410,2.388411226370
0.5,5.0,2,64,0.000246708322,391.457124558264,0.096575730393,2.337427807501
0.5,5.0,2,128,0.000126676699,782.858225321111,0.099169895663,2.310920781884
0.5,5.0,3,1,0.005746078198,9.700310386822,0.055738742031,2.887079825689
0.5,5.0,3,2,0.003307484421,19.393403701683,0.064143380607,2.746634379413
0.5,5.0,3,4,0.001930096268,38.779530932475,0.074848227931,2.592292843339
0.5,5.0,3,8,0.001100333884,77.551785148108,0.085332856981,2.461195705445
0.5,5.0,3,16,0.000598455692,155.096293579370,0.092818259710,2.377111894428
0.5,5.0,3,32,0.000313200713,310.185310441894,0.097150260304,2.331496423758
0.5,5.0,3,64,0.000160344887,620.363344166941,0.099472090233,2.307878174334
0.5,5.0,3,128,0.000081142559,1240.719411617036,0.100675147695,2.295856305200
0.5,5.0,5,1,0.004917670366,14.200646023210,0.069834096128,2.661632905273
0.5,5.0,5,2,0.002738936385,28.400727644958,0.077787786314,2.553770848376
0.5,5.0,5,4,0.001522326249,56.800890527237,0.086469486640,2.447963682879
0.5,5.0,5,8,0.000821516188,113.601216291681,0.093325238194,2.371664701876
0.5,5.0,5,16,0.000428793284,227.201867820567,0.097422635072,2.328696702401
0.5,5.0,5,32,0.000219220941,454.403170878341,0.099614690783,2.306445627446
0.5,5.0,5,64,0.000110857722,908.805776993888,0.100748137829,2.295131561417
0.5,5.0,5,128,0.000055746026,1817.610989224981,0.101324589771,2.289426155122
0.5,5.0,7,1,0.004464500661,17.168883219007,0.076650490481,2.568499274717
0.5,5.0,7,2,0.002441741085,34.337661455337,0.083843678751,2.478801181135
0.5,5.0,7,4,0.001324920674,68.675217915505,0.090989216031,2.397014284640
0.5,5.0,7,8,0.000699314820,137.350330835838,0.096051121861,2.342874709869
0.5,5.0,7,16,0.000359998527,274.700556676506,0.098891795769,2.313728998605
0.5,5.0,7,32,0.000182702772,549.401008357842,0.100377087390,2.298821311012
0.5,5.0,7,64,0.000092042606,1098.801911720513,0.101136591326,2.291283286426
0.5,5.0,7,128,0.000046196077,2197.603718445856,0.101520669812,2.287492857768
1.0,10.0,2,1,0.021014196680,3.208446523577,0.067422926282,2.696770166347
