signature,certificate_weight
"{5,5,5,1}",-0.319817627774694
"{5,5,4,2}",-0.219686794725235
"{7,7,6,1}",0.303427823679151
"{6,6,3}",-0.174309583060939
"{6,6,2,2}",0.402493078237200
"{5,4,4,1}",0.395980246820106
"{7,6,6,1}",-0.321235144141876
"{7,5,5,3}",-0.154831538287563
"{6,3,2}",0.169500275533155
"{5,4,4}",-0.275870105547479
"{6,5,5,5}",0.184528101644873
"{6,4,2,1}",-0.261644011422065
"{5,5,5}",0.271465279045366
