q,family,anisotropic,signature,c_sig_40,contact,endpoint_beta_0,endpoint_beta_inf,c_aff
37,x^2 + y^2,0,73 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36,0.9995686867844048964867802346587297535308,beta = 0.441047724879,1.0,1.188190799387778929811693140027175845666,1
41,x^2 - n y^2,1,42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 1,0.9980621569448069235825619955327234125948,beta = 0.290423758704,1.0,1.006489049127420438246841795033594943062,2/3
41,x y,0,81 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40,0.9996213344401191436575807773842026656631,beta = 0.441210077321,1.0,1.183348289931637300906425846869953817053,1
41,x^2 + y^2,0,81 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40,0.9996213344401191436575807773842026656631,beta = 0.441210077321,1.0,1.183348289931637300906425846869953817053,1
43,x^2 - n y^2,1,44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 1,0.9981555935757774508826136305311034071835,beta = 0.289157438913,1.0,1.006112282653819787478452482827923784623,2/3
43,x y,0,85 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42,0.9996434416797602689353620610856117583999,beta = 0.441279816158,1.0,1.181179176814710631907716532788814603371,1
43,x^2 + y^2,1,44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 1,0.9981555935757774508826136305311034071835,beta = 0.289157438913,1.0,1.006112282653819787478452482827923784623,2/3
47,x^2 - n y^2,1,48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 1,0.9983184225939314374024614657864923299224,beta = 0.286822744897,1.0,1.00546820833270947473009796865556857601,2/3
47,x y,0,93 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46 46,0.9996812035283254810246616016237365296313,beta = 0.441401329569,1.0,1.177253435982579886095257876361751271024,1
47,x^2 + y^2,1,48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 1,0.9983184225939314374024614657864923299224,beta = 0.286822744897,1.0,1.00546820833270947473009796865556857601,2/3
