part,s_or_eps,col1,col2,col3,col4,col5
trace_and_euler,1.1,1.5658347e-33,0.12443502,10.5844484649508098263864,,
trace_and_euler,1.5,3.3969766e-35,0.00018965038,2.612375348685488343348568,,
trace_and_euler,2,2.3810648e-37,1.4214949e-7,1.644934066848226436472415,,
trace_and_euler,3,2.2958874e-41,1.4685651e-13,1.202056903159594285399738,,
trace_and_euler,5,0.0,2.9882616e-25,1.036927755143369926331365,,
thermodynamics,0.1,2.359385797886908723,9.4410363852846373745,12.744525821700009835,0.94410363852846373745,1.3499074997279311628
thermodynamics,0.01,4.6109329825182197915,99.424654643270225728,105.02983417222114778,0.99424654643270225728,1.0563761528673343079
thermodynamics,0.001,6.9083324008911480217,999.42297182965742261,1007.3307272023782281,0.99942297182965742261,1.0079123210048333876
thermodynamics,0.0001,9.2103980926049589543,9999.4228030892048796,10009.633143462118759,0.99994228030892048796,1.0010210929744624374
thermodynamics,1.0e-5,11.512931237117500141,99999.422786210555627,100011.93571167553523,0.99999422786210555627,1.0001251299769172776
thermodynamics,1.0e-6,13.815511135179845233,999999.42278452264465,1000014.238295080609,0.99999942278452264465,1.0000148155191097113
thermodynamics,1.0e-7,16.118095708679885341,9999999.4227843538531,10000016.540880004811,0.99999994227843538531,1.0000017118096639042
thermodynamics,1.0e-8,18.420680749724522112,99999999.422784336974,100000018.84346508093,0.99999999422784336974,1.0000001942068085605
thermodynamics,1.0e-9,20.723265837523626821,999999999.42278433529,1000000021.1460501722,0.99999999942278433529,1.0000000217232658495
thermodynamics,1.0e-10,23.025850929998178407,9999999999.4227843351,10000000023.448635265,0.99999999994227843351,1.0000000024025850931
thermodynamics,1.0e-11,25.328436022940274681,99999999999.422784335,100000000025.75122036,0.99999999999422784335,1.0000000002632843602
thermodynamics,1.0e-12,27.631021115929125424,999999999999.42278434,1000000000028.0538055,0.99999999999942278434,1.0000000000286310211
