family,q,fibres,a,b,c,d,e
"y^2=F(x^2), F palindromic sextic",4001,3997,3.944726,44.1712,782.405,"4, 45  (SU2^3 x USp4, NOT 3)",
"y^2=F(x^2), F palindromic sextic",16001,15997,4.030986,45.2432,783.567,"4, 45  (SU2^3 x USp4, NOT 3)",
generic genus 2  y^2=x^5+x+c,401,397,1.012708,3.2426,16.550,"1, 3, 14",
generic genus 2  y^2=x^5+x+c,1009,1009,0.987116,3.1737,15.666,"1, 3, 14",
generic genus 2  y^2=x^5+x+c,4001,3997,0.933684,2.7472,13.502,"1, 3, 14",
generic genus 2  y^2=x^5+x+c,16001,16001,0.988188,3.0249,14.608,"1, 3, 14",
generic genus 4  y^2=x^9+x+c,401,401,1.416459,10.8957,279.078,"1, 3, 15",
generic genus 4  y^2=x^9+x+c,1009,1009,1.022795,4.0374,30.522,"1, 3, 15",
generic genus 4  y^2=x^9+x+c,4001,4001,0.985754,3.1197,18.073,"1, 3, 15",
generic genus 4  y^2=x^9+x+c,16001,16001,1.003437,3.0292,15.319,"1, 3, 15",
split  y^2=x^6+x^2+c,401,401,1.877805,9.1275,60.767,"2, 10, 70",
split  y^2=x^6+x^2+c,1009,1007,1.987090,11.0499,89.095,"2, 10, 70",
split  y^2=x^6+x^2+c,4001,4001,2.039740,10.2622,71.702,"2, 10, 70",
split  y^2=x^6+x^2+c,16001,16001,2.017936,10.2175,72.404,"2, 10, 70",
map_presentation,101,3,0,0,[2],0.199007,
map_presentation,401,3,0,0,[2],0.099875,
map_presentation,1009,3,0,0,[2],0.062963,
map_presentation,4001,3,0,0,[2],0.031619,
map_presentation,16001,3,0,0,[2],0.015811,
