genus,partitions,pairs,dominance_comparable,incomparable,crossing_pairs,cycles,closest_approach
1,1,0,0,0,0,0,inf
2,2,1,1,0,0,0,inf
10,43111,4222,1.0,0.0,0.2332239775,0
10,43111,3331,1.0,0.0,0.2963641297,0
10,43111,3322,1.0,2.0,0.1650962756,1
10,4222,3331,0.0,0.0,0.0903387488,0
10,42211,3331,1.0,-2.0,0.4088839742,0
10,42211,3322,1.0,0.0,0.2963641297,0
10,421111,3331,2.0,-4.0,0.7280546675,0
10,421111,3322,2.0,-2.0,0.6116884279,0
10,421111,33211,1.0,0.0,0.2963641297,0
10,421111,32221,1.0,2.0,0.1650962756,1
10,421111,22222,1.0,4.0,-0.0166184606,1
10,4111111,3331,3.0,-6.0,1.0474280674,0
10,4111111,3322,3.0,-4.0,0.9292832014,0
10,4111111,33211,2.0,-2.0,0.6116884279,0
10,4111111,331111,1.0,0.0,0.2963641297,0
10,4111111,32221,2.0,0.0,0.5236979344,0
10,4111111,322111,1.0,2.0,0.1650962756,1
10,4111111,22222,2.0,2.0,0.4265421708,1
10,4111111,222211,1.0,4.0,-0.0166184606,1
10,331111,32221,1.0,0.0,0.2332239775,0
10,331111,22222,1.0,2.0,0.0995602268,1
10,322111,22222,1.0,0.0,0.2332239775,0
10,3211111,22222,2.0,-2.0,0.5358060914,0
10,3211111,222211,1.0,0.0,0.2332239775,0
10,31111111,22222,3.0,-4.0,0.8488105375,0
10,31111111,222211,2.0,-2.0,0.5358060914,0
10,31111111,2221111,1.0,0.0,0.2332239775,0
11,911,83,1.0,10.0,0.0434980794,1
11,911,74,1.0,18.0,-0.2174515454,1
11,911,65,1.0,22.0,-0.3466658124,1
11,821,74,1.0,4.0,0.4052867454,1
11,821,65,1.0,8.0,0.3004813308,1
11,8111,74,2.0,2.0,0.7598720532,1
11,8111,731,1.0,8.0,0.0880982503,1
11,8111,722,1.0,10.0,-0.0994118256,1
11,8111,65,2.0,6.0,0.7079069939,1
11,8111,641,1.0,14.0,-0.1234124951,1
11,8111,632,1.0,18.0,-0.4242152160,1
11,8111,551,1.0,16.0,-0.1936251426,1
11,8111,542,1.0,22.0,-0.5820259113,1
11,8111,533,1.0,24.0,-0.6929596728,1
11,8111,443,1.0,26.0,-0.7803716262,1
11,731,65,1.0,-2.0,0.5352857086,0
11,722,65,1.0,-4.0,0.7004471094,0
11,722,641,0.0,4.0,0.0344288622,1
11,722,551,0.0,6.0,-0.0362144387,1
11,7211,65,2.0,-6.0,0.9994178653,0
11,7211,641,1.0,2.0,0.4365234693,1
11,7211,632,1.0,6.0,0.1393278729,1
11,7211,551,1.0,4.0,0.3966581618,1
11,7211,542,1.0,10.0,-0.0134051055,1
11,7211,533,1.0,12.0,-0.1276951419,1
11,7211,443,1.0,14.0,-0.2143608169,1
11,71111,65,3.0,-8.0,1.3039683360,0
11,71111,641,2.0,0.0,0.7611066176,0
11,71111,632,2.0,4.0,0.5663058659,1
11,71111,6311,1.0,6.0,0.1393278729,1
11,71111,6221,1.0,8.0,-0.0504657607,1
11,71111,551,2.0,2.0,0.7579862252,1
11,71111,542,2.0,8.0,0.4426134842,1
11,71111,5411,1.0,10.0,-0.0134051055,1
11,71111,533,2.0,10.0,0.3375448223,1
11,71111,5321,1.0,14.0,-0.3198445664,1
11,71111,5222,1.0,16.0,-0.4967262223,1
11,71111,443,2.0,12.0,0.2563809732,1
11,71111,4421,1.0,16.0,-0.4075030840,1
11,71111,4331,1.0,18.0,-0.5208155568,1
11,71111,4322,1.0,20.0,-0.6983003124,1
11,71111,3332,1.0,22.0,-0.8123591481,1
11,632,551,0.0,-2.0,0.2467278428,0
11,6311,551,1.0,-4.0,0.5376139324,0
11,6311,542,1.0,2.0,0.2941661631,1
11,6311,533,1.0,4.0,0.1980674677,1
11,6311,443,1.0,6.0,0.1163654324,1
11,6221,551,1.0,-6.0,0.7037404315,0
11,6221,542,1.0,0.0,0.4439739707,0
11,6221,5411,0.0,2.0,0.0916900195,1
11,6221,533,1.0,2.0,0.3870341140,1
11,6221,443,1.0,4.0,0.3256395921,1
11,62111,551,2.0,-8.0,1.0011354270,0
11,62111,542,2.0,-2.0,0.7612470390,0
11,62111,5411,1.0,0.0,0.4439739707,0
11,62111,533,2.0,0.0,0.7205881360,0
11,62111,5321,1.0,4.0,0.1980674677,1
11,62111,5222,1.0,6.0,0.0080001812,1
11,62111,443,2.0,2.0,0.7110082185,1
11,62111,4421,1.0,6.0,0.1163654324,1
11,62111,4331,1.0,8.0,0.0021925552,1
11,62111,4322,1.0,10.0,-0.1930277062,1
11,62111,3332,1.0,12.0,-0.3080608680,1
11,611111,551,3.0,-10.0,1.3049629611,0
11,611111,542,3.0,-4.0,1.0794648888,0
11,611111,5411,2.0,-2.0,0.7612470390,0
11,611111,533,3.0,-2.0,1.0401408664,0
11,611111,5321,2.0,2.0,0.6012504958,1
11,611111,53111,1.0,4.0,0.1980674677,1
11,611111,5222,2.0,4.0,0.4514831339,1
11,611111,52211,1.0,6.0,0.0080001812,1
11,611111,443,3.0,0.0,1.0344991151,0
11,611111,4421,2.0,4.0,0.5548796153,1
11,611111,44111,1.0,6.0,0.1163654324,1
11,611111,4331,2.0,6.0,0.4619444293,1
11,611111,4322,2.0,8.0,0.2732397878,1
11,611111,43211,1.0,10.0,-0.1930277062,1
11,611111,42221,1.0,12.0,-0.3747323694,1
11,611111,3332,2.0,10.0,0.1635122152,1
11,611111,33311,1.0,12.0,-0.3080608680,1
11,611111,33221,1.0,14.0,-0.4901502102,1
11,611111,32222,1.0,16.0,-0.6656561133,1
11,5411,533,1.0,0.0,0.2963641297,0
11,5411,443,1.0,2.0,0.2618541066,1
11,5321,443,1.0,-2.0,0.4461649867,0
11,53111,5222,1.0,0.0,0.2332239775,0
11,53111,443,2.0,-4.0,0.7628170019,0
11,53111,4421,1.0,0.0,0.3147991465,0
11,53111,4331,1.0,2.0,0.2618541066,1
11,53111,4322,1.0,4.0,0.0789990017,1
11,53111,3332,1.0,6.0,-0.0350069516,1
11,5222,443,1.0,-4.0,0.5978271810,0
11,5222,4421,0.0,0.0,0.1327698092,0
11,5222,44111,-1.0,2.0,-0.2335765227,0
11,5222,4331,0.0,2.0,0.0217095052,1
11,52211,443,2.0,-6.0,0.9086673091,0
11,52211,4421,1.0,-2.0,0.4461649867,0
11,52211,44111,0.0,0.0,0.1327698092,0
11,52211,4331,1.0,0.0,0.4016925375,0
11,52211,4322,1.0,2.0,0.2618541066,1
11,52211,3332,1.0,4.0,0.1589737464,1
11,521111,443,3.0,-8.0,1.2225096625,0
11,521111,4421,2.0,-4.0,0.7628170019,0
11,521111,44111,1.0,-2.0,0.4461649867,0
11,521111,4331,2.0,-2.0,0.7212452679,0
11,521111,4322,2.0,0.0,0.6090890277,0
11,521111,43211,1.0,2.0,0.2618541066,1
11,521111,42221,1.0,4.0,0.0789990017,1
11,521111,3332,2.0,2.0,0.5786865809,1
11,521111,33311,1.0,4.0,0.1589737464,1
11,521111,33221,1.0,6.0,-0.0350069516,1
11,521111,32222,1.0,8.0,-0.2203687837,1
11,5111111,443,4.0,-10.0,1.5380953764,0
11,5111111,4421,3.0,-6.0,1.0807668731,0
11,5111111,44111,2.0,-4.0,0.7628170019,0
11,5111111,4331,3.0,-4.0,1.0407979984,0
11,5111111,4322,3.0,-2.0,0.9260392048,0
11,5111111,43211,2.0,0.0,0.6090890277,0
11,5111111,431111,1.0,2.0,0.2618541066,1
11,5111111,42221,2.0,2.0,0.5048778215,1
11,5111111,422111,1.0,4.0,0.0789990017,1
11,5111111,3332,3.0,0.0,0.9048322676,0
11,5111111,33311,2.0,2.0,0.5786865809,1
11,5111111,33221,2.0,4.0,0.4226025237,1
11,5111111,332111,1.0,6.0,-0.0350069516,1
11,5111111,32222,2.0,6.0,0.2447692508,1
11,5111111,322211,1.0,8.0,-0.2203687837,1
11,5111111,222221,1.0,10.0,-0.4002691761,1
11,44111,4331,1.0,0.0,0.2963641297,0
11,44111,4322,1.0,2.0,0.1650962756,1
11,44111,3332,1.0,4.0,0.0532068671,1
11,43211,3332,1.0,0.0,0.2963641297,0
11,431111,42221,1.0,0.0,0.2332239775,0
11,431111,3332,2.0,-2.0,0.6116884279,0
11,431111,33311,1.0,0.0,0.2963641297,0
11,431111,33221,1.0,2.0,0.1650962756,1
11,431111,32222,1.0,4.0,-0.0166184606,1
11,42221,3332,1.0,-2.0,0.4088839742,0
11,42221,33311,0.0,0.0,0.0903387488,0
11,422111,3332,2.0,-4.0,0.7280546675,0
11,422111,33311,1.0,-2.0,0.4088839742,0
11,422111,33221,1.0,0.0,0.2963641297,0
11,422111,32222,1.0,2.0,0.1650962756,1
11,4211111,3332,3.0,-6.0,1.0474280674,0
11,4211111,33311,2.0,-4.0,0.7280546675,0
11,4211111,33221,2.0,-2.0,0.6116884279,0
11,4211111,332111,1.0,0.0,0.2963641297,0
11,4211111,32222,2.0,0.0,0.5236979344,0
11,4211111,322211,1.0,2.0,0.1650962756,1
11,4211111,222221,1.0,4.0,-0.0166184606,1
11,41111111,3332,4.0,-8.0,1.3668513376,0
11,41111111,33311,3.0,-6.0,1.0474280674,0
11,41111111,33221,3.0,-4.0,0.9292832014,0
11,41111111,332111,2.0,-2.0,0.6116884279,0
11,41111111,3311111,1.0,0.0,0.2963641297,0
11,41111111,32222,3.0,-2.0,0.8319236879,0
11,41111111,322211,2.0,0.0,0.5236979344,0
11,41111111,3221111,1.0,2.0,0.1650962756,1
11,41111111,222221,2.0,2.0,0.4265421708,1
11,41111111,2222111,1.0,4.0,-0.0166184606,1
11,332111,32222,1.0,0.0,0.2332239775,0
11,3311111,32222,2.0,-2.0,0.5358060914,0
11,3311111,322211,1.0,0.0,0.2332239775,0
11,3311111,222221,1.0,2.0,0.0995602268,1
11,3221111,222221,1.0,0.0,0.2332239775,0
11,32111111,222221,2.0,-2.0,0.5358060914,0
11,32111111,2222111,1.0,0.0,0.2332239775,0
11,311111111,222221,3.0,-4.0,0.8488105375,0
11,311111111,2222111,2.0,-2.0,0.5358060914,0
11,311111111,22211111,1.0,0.0,0.2332239775,0
12,1011,93,1.0,12.0,0.0044038115,1
12,1011,84,1.0,22.0,-0.2988637027,1
12,1011,75,1.0,28.0,-0.4783032600,1
12,1011,66,1.0,30.0,-0.5376916135,1
12,921,84,1.0,6.0,0.3672184416,1
12,921,75,1.0,12.0,0.2070665315,1
12,921,66,1.0,14.0,0.1508895763,1
12,9111,84,2.0,4.0,0.7462939840,1
12,9111,831,1.0,10.0,0.0434980794,1
12,9111,822,1.0,12.0,-0.1410726203,1
12,9111,75,2.0,10.0,0.6299504312,1
12,9111,741,1.0,18.0,-0.2174515454,1
12,9111,732,1.0,22.0,-0.5119766917,1
12,9111,66,2.0,12.0,0.5808738380,1
12,9111,651,1.0,22.0,-0.3466658124,1
12,9111,642,1.0,28.0,-0.7275503930,1
12,9111,633,1.0,30.0,-0.8358557270,1
12,9111,552,1.0,30.0,-0.7985262144,1
12,9111,543,1.0,34.0,-0.9933113408,1
12,9111,444,1.0,36.0,-1.0798882387,1
12,831,75,1.0,0.0,0.5350039710,0
12,831,66,1.0,2.0,0.5308791688,1
12,822,75,1.0,-2.0,0.7000176070,0
12,822,741,0.0,6.0,-0.0167081545,1
12,822,66,1.0,0.0,0.6972984957,0
12,822,651,0.0,10.0,-0.1469287367,1
12,8211,75,2.0,-4.0,0.9992019363,0
12,8211,741,1.0,4.0,0.4052867454,1
12,8211,732,1.0,8.0,0.0880982503,1
12,8211,66,2.0,-2.0,0.9976560446,0
12,8211,651,1.0,8.0,0.3004813308,1
12,8211,642,1.0,14.0,-0.1234124951,1
