mu,nu,genus,dm2,dt,mid,sup,inf,tau_sup,tau_inf,sign_changes
2.SU2 x USp4 x USp4,SU2 x USp4 x 3.SU2,6.0,-5.0,3.5,-0.7642835205,0.0000000000,-1.5285670410,0,1.8197,0
2.SU2 x USp4 x USp4,2.SU2 x 2.SU2 x 2.SU2,6.0,-6.0,7.0,-1.3342231296,0.0000000000,-2.6684462591,0,2.20039,0
2.SU2 x USp4 x USp4,SU2 x SU2 x SU2 x 3.SU2,6.0,-6.0,5.5,-1.0698855197,0.0000000000,-2.1397710394,0,2.12569,0
2.SU2 x USp4 x USp4,SU2 x 2.SU2 x 3.SU2,6.0,-8.0,7.0,-1.4272406433,0.0000000000,-2.8544812867,0,2.01837,0
2.SU2 x USp4 x USp4,USp4 x 4.SU2,6.0,-11.0,5.0,-1.2955774937,0.0000000000,-2.5911549874,0,1.40443,0
2.SU2 x USp4 x USp4,3.SU2 x 3.SU2,6.0,-12.0,8.5,-1.8899191123,0.0000000000,-3.7798382245,0,1.78855,0
2.SU2 x USp4 x USp4,SU2 x SU2 x 4.SU2,6.0,-12.0,7.0,-1.5757756127,0.0000000000,-3.1515512253,0,1.69824,0
2.SU2 x USp4 x USp4,2.SU2 x 4.SU2,6.0,-14.0,8.5,-1.9374824217,0.0000000000,-3.8749648433,0,1.69824,0
2.SU2 x USp4 x USp4,SU2 x 5.SU2,6.0,-20.0,8.5,-2.1381308544,0.0000000000,-4.2762617089,0,1.42889,0
2.SU2 x USp4 x USp4,6.SU2,6.0,-30.0,10.0,-2.7427207764,0.0000000000,-5.4854415529,0,1.24451,0
SU2 x 2.SU2 x USp6,SU2 x SU2 x 2.SU2 x USp4,6.0,-1.0,4.0,-0.4653155709,0.0000000000,-0.9306311417,0,3.95822,0
SU2 x 2.SU2 x USp6,2.SU2 x 2.USp4,6.0,-2.0,7.0,-0.8992125288,0.0000000000,-1.7984250576,0,3.50752,0
SU2 x 2.SU2 x USp6,SU2 x SU2 x SU2 x SU2 x 2.SU2,6.0,-2.0,6.0,-0.7765060655,0.0000000000,-1.5530121310,0,3.50752,0
SU2 x 2.SU2 x USp6,3.USp4,6.0,-3.0,8.5,-1.2248165374,0.0000000000,-2.4496330748,0,3.00262,0
SU2 x 2.SU2 x USp6,2.SU2 x 2.SU2 x USp4,6.0,-3.0,5.5,-0.7807933532,0.0000000000,-1.5615867065,0,3.05492,0
SU2 x 2.SU2 x USp6,SU2 x SU2 x 2.SU2 x 2.SU2,6.0,-4.0,7.5,-1.0998241624,0.0000000000,-2.1996483248,0,2.95121,0
SU2 x 2.SU2 x USp6,3.SU2 x USp6,6.0,-4.0,1.5,-0.4892667468,0.0000000000,-0.9785334936,0,1.20226,0
SU2 x 2.SU2 x USp6,SU2 x USp4 x 3.SU2,6.0,-5.0,5.5,-0.8525885368,0.0000000000,-1.7051770737,0,2.61517,0
SU2 x 2.SU2 x USp6,2.SU2 x 2.SU2 x 2.SU2,6.0,-6.0,9.0,-1.4370958770,0.0000000000,-2.8741917540,0,2.61517,0
SU2 x 2.SU2 x USp6,SU2 x SU2 x SU2 x 3.SU2,6.0,-6.0,7.5,-1.1718076622,0.0000000000,-2.3436153243,0,2.66073,0
SU2 x 2.SU2 x USp6,SU2 x 2.SU2 x 3.SU2,6.0,-8.0,9.0,-1.5170069534,0.0000000000,-3.0340139068,0,2.39883,0
SU2 x 2.SU2 x USp6,USp4 x 4.SU2,6.0,-11.0,7.0,-1.3425756590,0.0000000000,-2.6851513180,0,1.72783,0
SU2 x 2.SU2 x USp6,3.SU2 x 3.SU2,6.0,-12.0,10.5,-1.9608178374,0.0000000000,-3.9216356748,0,2.05353,0
SU2 x 2.SU2 x USp6,SU2 x SU2 x 4.SU2,6.0,-12.0,9.0,-1.6440502264,0.0000000000,-3.2881004527,0,2.05353,0
SU2 x 2.SU2 x USp6,2.SU2 x 4.SU2,6.0,-14.0,10.5,-2.0028385187,0.0000000000,-4.0056770374,0,1.94984,0
SU2 x 2.SU2 x USp6,SU2 x 5.SU2,6.0,-20.0,10.5,-2.1831862008,0.0000000000,-4.3663724017,0,1.6125,0
SU2 x 2.SU2 x USp6,6.SU2,6.0,-30.0,12.0,-2.7742909780,0.0000000000,-5.5485819560,0,1.33352,0
SU2 x SU2 x 2.SU2 x USp4,2.SU2 x 2.USp4,6.0,-1.0,3.0,-0.4405916554,0.0000000000,-0.8811833108,0,3.00262,0
SU2 x SU2 x 2.SU2 x USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,6.0,-1.0,2.0,-0.3195527304,0.0000000000,-0.6391054609,0,2.80221,0
SU2 x SU2 x 2.SU2 x USp4,3.USp4,6.0,-2.0,4.5,-0.7835593508,0.0000000000,-1.5671187017,0,2.48313,0
SU2 x SU2 x 2.SU2 x USp4,2.SU2 x 2.SU2 x USp4,6.0,-2.0,1.5,-0.3617068090,0.0000000000,-0.7234136180,0,1.69824,0
SU2 x SU2 x 2.SU2 x USp4,SU2 x SU2 x 2.SU2 x 2.SU2,6.0,-3.0,3.5,-0.6671115648,0.0000000000,-1.3342231296,0,2.20039,0
SU2 x SU2 x 2.SU2 x USp4,3.SU2 x USp6,6.0,-3.0,-2.5,-0.1168400507,0.3220712805,-0.5557513819,7.49894,0.703882,1
SU2 x SU2 x 2.SU2 x USp4,SU2 x USp4 x 3.SU2,6.0,-4.0,1.5,-0.4892667468,0.0000000000,-0.9785334936,0,1.20226,0
SU2 x SU2 x 2.SU2 x USp4,2.SU2 x 2.SU2 x 2.SU2,6.0,-5.0,5.0,-1.0236290944,0.0000000000,-2.0472581888,0,2.01837,0
SU2 x SU2 x 2.SU2 x USp4,SU2 x SU2 x SU2 x 3.SU2,6.0,-5.0,3.5,-0.7642835205,0.0000000000,-1.5285670410,0,1.8197,0
SU2 x SU2 x 2.SU2 x USp4,SU2 x 2.SU2 x 3.SU2,6.0,-7.0,5.0,-1.1256927554,0.0000000000,-2.2513855109,0,1.75792,0
SU2 x SU2 x 2.SU2 x USp4,USp4 x 4.SU2,6.0,-10.0,3.0,-1.0477669266,0.0000000000,-2.0955338532,0,1.08393,0
SU2 x SU2 x 2.SU2 x USp4,3.SU2 x 3.SU2,6.0,-11.0,6.5,-1.6007356282,0.0000000000,-3.2014712564,0,1.58489,0
SU2 x SU2 x 2.SU2 x USp4,SU2 x SU2 x 4.SU2,6.0,-11.0,5.0,-1.2955774937,0.0000000000,-2.5911549874,0,1.40443,0
SU2 x SU2 x 2.SU2 x USp4,2.SU2 x 4.SU2,6.0,-13.0,6.5,-1.6543348658,0.0000000000,-3.3086697316,0,1.47911,0
SU2 x SU2 x 2.SU2 x USp4,SU2 x 5.SU2,6.0,-19.0,6.5,-1.8812818719,0.0000000000,-3.7625637439,0,1.20226,0
SU2 x SU2 x 2.SU2 x USp4,6.SU2,6.0,-29.0,8.0,-2.5045178791,0.0000000000,-5.0090357582,0,1.08393,0
2.SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,6.0,0.0,-1.0,0.1227128379,0.2454256759,0.0000000000,3.44747,0,0
2.SU2 x 2.USp4,3.USp4,6.0,-1.0,1.5,-0.3594335573,0.0000000000,-0.7188671146,0,1.8514,0
2.SU2 x 2.USp4,2.SU2 x 2.SU2 x USp4,6.0,-1.0,-1.5,0.0402602397,0.2695748152,-0.1890543358,5.21795,0.6346,1
2.SU2 x 2.USp4,SU2 x SU2 x 2.SU2 x 2.SU2,6.0,-2.0,0.5,-0.2867654743,0.0000000000,-0.5735309485,0,1.14156,0
2.SU2 x 2.USp4,3.SU2 x USp6,6.0,-2.0,-5.5,0.4166644374,1.0998980136,-0.2665691387,4.70435,0.44157,1
2.SU2 x 2.USp4,SU2 x USp4 x 3.SU2,6.0,-3.0,-1.5,-0.1648541533,0.2000555097,-0.5297638163,7.12033,0.645654,1
2.SU2 x 2.USp4,2.SU2 x 2.SU2 x 2.SU2,6.0,-4.0,2.0,-0.6390984121,0.0000000000,-1.2781968242,0,1.40443,0
2.SU2 x 2.USp4,SU2 x SU2 x SU2 x 3.SU2,6.0,-4.0,0.5,-0.4410577961,0.0000000000,-0.8821155922,0,0.927897,0
2.SU2 x 2.USp4,SU2 x 2.SU2 x 3.SU2,6.0,-6.0,2.0,-0.7759136516,0.0000000000,-1.5518273032,0,1.18168,0
2.SU2 x 2.USp4,USp4 x 4.SU2,6.0,-9.0,0.0,-0.8114602405,0.0000000000,-1.6229204810,0,0.767361,0
2.SU2 x 2.USp4,3.SU2 x 3.SU2,6.0,-10.0,3.5,-1.2651445998,0.0000000000,-2.5302891997,0,1.18168,0
2.SU2 x 2.USp4,SU2 x SU2 x 4.SU2,6.0,-10.0,2.0,-1.0022846988,0.0000000000,-2.0045693976,0,0.944061,0
2.SU2 x 2.USp4,2.SU2 x 4.SU2,6.0,-12.0,3.5,-1.3342326129,0.0000000000,-2.6684652257,0,1.10281,0
2.SU2 x 2.USp4,SU2 x 5.SU2,6.0,-18.0,3.5,-1.6106025210,0.0000000000,-3.2212050419,0,0.927897,0
2.SU2 x 2.USp4,6.SU2,6.0,-28.0,5.0,-2.2513969612,0.0000000000,-4.5027939223,0,0.881049,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,3.USp4,6.0,-1.0,2.5,-0.4669467069,0.0000000000,-0.9338934138,0,2.27772,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,2.SU2 x 2.SU2 x USp4,6.0,-1.0,-0.5,-0.0906606003,0.0518823237,-0.2332035244,9.54993,0.836566,1
SU2 x SU2 x SU2 x SU2 x 2.SU2,SU2 x SU2 x 2.SU2 x 2.SU2,6.0,-2.0,1.5,-0.3617068090,0.0000000000,-0.7234136180,0,1.69824,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,6.0,-2.0,-4.5,0.2913954002,0.8633459522,-0.2805551518,4.9545,0.473151,1
SU2 x SU2 x SU2 x SU2 x 2.SU2,SU2 x USp4 x 3.SU2,6.0,-3.0,-0.5,-0.2737591945,0.0220317957,-0.5695501846,22.6464,0.74131,1
SU2 x SU2 x SU2 x SU2 x 2.SU2,2.SU2 x 2.SU2 x 2.SU2,6.0,-4.0,3.0,-0.7234136180,0.0000000000,-1.4468272360,0,1.69824,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,SU2 x SU2 x SU2 x 3.SU2,6.0,-4.0,1.5,-0.4892667468,0.0000000000,-0.9785334936,0,1.20226,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,SU2 x 2.SU2 x 3.SU2,6.0,-6.0,3.0,-0.8431954235,0.0000000000,-1.6863908470,0,1.40443,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,USp4 x 4.SU2,6.0,-9.0,1.0,-0.8399873541,0.0000000000,-1.6799747083,0,0.851138,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x 3.SU2,6.0,-10.0,4.5,-1.3300816338,0.0000000000,-2.6601632677,0,1.33352,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,SU2 x SU2 x 4.SU2,6.0,-10.0,3.0,-1.0477669266,0.0000000000,-2.0955338532,0,1.08393,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,2.SU2 x 4.SU2,6.0,-12.0,4.5,-1.3926210598,0.0000000000,-2.7852421197,0,1.24451,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,SU2 x 5.SU2,6.0,-18.0,4.5,-1.6516228921,0.0000000000,-3.3032457842,0,1.01158,0
SU2 x SU2 x SU2 x SU2 x 2.SU2,6.SU2,6.0,-28.0,6.0,-2.2883360821,0.0000000000,-4.5766721641,0,0.944061,0
3.USp4,2.SU2 x 2.SU2 x USp4,6.0,0.0,-3.0,0.4440281045,0.8880562090,0.0000000000,3.00262,0,0
3.USp4,SU2 x SU2 x 2.SU2 x 2.SU2,6.0,-1.0,-1.0,0.0632153745,0.2527528184,-0.1263220694,3.50752,0.412098,1
3.USp4,3.SU2 x USp6,6.0,-1.0,-7.0,0.8072694725,1.6922977973,-0.0777588523,3.75837,0.241268,1
3.USp4,SU2 x USp4 x 3.SU2,6.0,-2.0,-3.0,0.2659888803,0.7633305234,-0.2313527628,3.56862,0.378007,1
3.USp4,2.SU2 x 2.SU2 x 2.SU2,6.0,-3.0,0.5,-0.3194403029,0.0000000000,-0.6388806058,0,0.865964,0
3.USp4,SU2 x SU2 x SU2 x 3.SU2,6.0,-3.0,-1.0,-0.1442383372,0.1594244966,-0.4479011709,5.78762,0.524807,1
3.USp4,SU2 x 2.SU2 x 3.SU2,6.0,-5.0,0.5,-0.4861175971,0.0000000000,-0.9722351941,0,0.780728,0
3.USp4,USp4 x 4.SU2,6.0,-8.0,-1.5,-0.5364534505,0.1358138190,-1.2087207199,10.5925,0.572137,1
3.USp4,3.SU2 x 3.SU2,6.0,-9.0,2.0,-0.9586669169,0.0000000000,-1.9173338337,0,0.927897,0
3.USp4,SU2 x SU2 x 4.SU2,6.0,-9.0,0.5,-0.7518955576,0.0000000000,-1.5037911152,0,0.691831,0
3.USp4,2.SU2 x 4.SU2,6.0,-11.0,2.0,-1.0428237088,0.0000000000,-2.0856474176,0,0.851138,0
3.USp4,SU2 x 5.SU2,6.0,-17.0,2.0,-1.3568812722,0.0000000000,-2.7137625443,0,0.728618,0
3.USp4,6.SU2,6.0,-27.0,3.5,-2.0013425735,0.0000000000,-4.0026851470,0,0.74131,0
2.SU2 x 2.SU2 x USp4,SU2 x SU2 x 2.SU2 x 2.SU2,6.0,-1.0,2.0,-0.3195527304,0.0000000000,-0.6391054609,0,2.80221,0
2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,6.0,-1.0,-4.0,0.3635227446,0.8321968987,-0.1051514095,4.46684,0.3408,1
2.SU2 x 2.SU2 x USp4,SU2 x USp4 x 3.SU2,6.0,-2.0,0.0,-0.1704810158,0.0000000000,-0.3409620316,0,0.668344,0
2.SU2 x 2.SU2 x USp4,2.SU2 x 2.SU2 x 2.SU2,6.0,-3.0,3.5,-0.6671115648,0.0000000000,-1.3342231296,0,2.20039,0
2.SU2 x 2.SU2 x USp4,SU2 x SU2 x SU2 x 3.SU2,6.0,-3.0,2.0,-0.4036659807,0.0000000000,-0.8073319613,0,1.98381,0
2.SU2 x 2.SU2 x USp4,SU2 x 2.SU2 x 3.SU2,6.0,-5.0,3.5,-0.7642835205,0.0000000000,-1.5285670410,0,1.8197,0
2.SU2 x 2.SU2 x USp4,USp4 x 4.SU2,6.0,-8.0,1.5,-0.7234117966,0.0000000000,-1.4468235932,0,0.851138,0
2.SU2 x 2.SU2 x USp4,3.SU2 x 3.SU2,6.0,-9.0,5.0,-1.2399646034,0.0000000000,-2.4799292069,0,1.53109,0
2.SU2 x 2.SU2 x USp4,SU2 x SU2 x 4.SU2,6.0,-9.0,3.5,-0.9408853551,0.0000000000,-1.8817707103,0,1.24451,0
2.SU2 x 2.SU2 x USp4,2.SU2 x 4.SU2,6.0,-11.0,5.0,-1.2955774937,0.0000000000,-2.5911549874,0,1.40443,0
2.SU2 x 2.SU2 x USp4,SU2 x 5.SU2,6.0,-17.0,5.0,-1.5390221524,0.0000000000,-3.0780443048,0,1.06537,0
2.SU2 x 2.SU2 x USp4,6.SU2,6.0,-27.0,6.5,-2.1732509604,0.0000000000,-4.3465019209,0,0.960506,0
SU2 x SU2 x 2.SU2 x 2.SU2,3.SU2 x USp6,6.0,0.0,-6.0,0.7201494853,1.4402989706,0.0000000000,3.82384,0,0
SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x USp4 x 3.SU2,6.0,-1.0,-2.0,0.2019353593,0.5106744292,-0.1068037106,3.63078,0.346737,1
SU2 x SU2 x 2.SU2 x 2.SU2,2.SU2 x 2.SU2 x 2.SU2,6.0,-2.0,1.5,-0.3617068090,0.0000000000,-0.7234136180,0,1.69824,0
SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x SU2 x SU2 x 3.SU2,6.0,-2.0,0.0,-0.1704810158,0.0000000000,-0.3409620316,0,0.668344,0
SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x 2.SU2 x 3.SU2,6.0,-4.0,1.5,-0.4892667468,0.0000000000,-0.9785334936,0,1.20226,0
SU2 x SU2 x 2.SU2 x 2.SU2,USp4 x 4.SU2,6.0,-7.0,-0.5,-0.5511223038,0.0065244420,-1.1087690497,75.8578,0.645654,1
SU2 x SU2 x 2.SU2 x 2.SU2,3.SU2 x 3.SU2,6.0,-8.0,3.0,-0.9785334936,0.0000000000,-1.9570669872,0,1.20226,0
SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x SU2 x 4.SU2,6.0,-8.0,1.5,-0.7234117966,0.0000000000,-1.4468235932,0,0.851138,0
SU2 x SU2 x 2.SU2 x 2.SU2,2.SU2 x 4.SU2,6.0,-10.0,3.0,-1.0477669266,0.0000000000,-2.0955338532,0,1.08393,0
SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x 5.SU2,6.0,-16.0,3.0,-1.3330147605,0.0000000000,-2.6660295210,0,0.851138,0
SU2 x SU2 x 2.SU2 x 2.SU2,6.SU2,6.0,-26.0,4.5,-1.9764243380,0.0000000000,-3.9528486761,0,0.822243,0
3.SU2 x USp6,SU2 x USp4 x 3.SU2,6.0,-1.0,4.0,-0.4653155709,0.0000000000,-0.9306311417,0,3.95822,0
3.SU2 x USp6,2.SU2 x 2.SU2 x 2.SU2,6.0,-2.0,7.5,-1.0336968553,0.0000000000,-2.0673937107,0,3.21736,0
3.SU2 x USp6,SU2 x SU2 x SU2 x 3.SU2,6.0,-2.0,6.0,-0.7765060655,0.0000000000,-1.5530121310,0,3.50752,0
3.SU2 x USp6,SU2 x 2.SU2 x 3.SU2,6.0,-4.0,7.5,-1.0998241624,0.0000000000,-2.1996483248,0,2.95121,0
3.SU2 x USp6,USp4 x 4.SU2,6.0,-7.0,5.5,-0.8865324712,0.0000000000,-1.7730649425,0,2.39883,0
3.SU2 x USp6,3.SU2 x 3.SU2,6.0,-8.0,9.0,-1.5170069534,0.0000000000,-3.0340139068,0,2.39883,0
3.SU2 x USp6,SU2 x SU2 x 4.SU2,6.0,-8.0,7.5,-1.2043906574,0.0000000000,-2.4087813149,0,2.52639,0
3.SU2 x USp6,2.SU2 x 4.SU2,6.0,-10.0,9.0,-1.5531115343,0.0000000000,-3.1062230686,0,2.27772,0
3.SU2 x USp6,SU2 x 5.SU2,6.0,-16.0,9.0,-1.7109802710,0.0000000000,-3.4219605420,0,1.8514,0
3.SU2 x USp6,6.SU2,6.0,-26.0,10.5,-2.2875750351,0.0000000000,-4.5751500702,0,1.40443,0
SU2 x USp4 x 3.SU2,2.SU2 x 2.SU2 x 2.SU2,6.0,-1.0,3.5,-0.5845073402,0.0000000000,-1.1690146803,0,2.61517,0
SU2 x USp4 x 3.SU2,SU2 x SU2 x SU2 x 3.SU2,6.0,-1.0,2.0,-0.3195527304,0.0000000000,-0.6391054609,0,2.80221,0
SU2 x USp4 x 3.SU2,SU2 x 2.SU2 x 3.SU2,6.0,-3.0,3.5,-0.6671115648,0.0000000000,-1.3342231296,0,2.20039,0
SU2 x USp4 x 3.SU2,USp4 x 4.SU2,6.0,-6.0,1.5,-0.5614880551,0.0000000000,-1.1229761102,0,0.977237,0
SU2 x USp4 x 3.SU2,3.SU2 x 3.SU2,6.0,-7.0,5.0,-1.1256927554,0.0000000000,-2.2513855109,0,1.75792,0
SU2 x USp4 x 3.SU2,SU2 x SU2 x 4.SU2,6.0,-7.0,3.5,-0.8128323431,0.0000000000,-1.6256646861,0,1.6125,0
SU2 x USp4 x 3.SU2,2.SU2 x 4.SU2,6.0,-9.0,5.0,-1.1743200431,0.0000000000,-2.3486400863,0,1.64059,0
SU2 x USp4 x 3.SU2,SU2 x 5.SU2,6.0,-15.0,5.0,-1.3920151251,0.0000000000,-2.7840302503,0,1.20226,0
SU2 x USp4 x 3.SU2,6.SU2,6.0,-25.0,6.5,-2.0173792019,0.0000000000,-4.0347584039,0,1.04713,0
2.SU2 x 2.SU2 x 2.SU2,SU2 x SU2 x SU2 x 3.SU2,6.0,0.0,-1.5,0.2658589022,0.5317178043,0.0000000000,2.44062,0,0
2.SU2 x 2.SU2 x 2.SU2,SU2 x 2.SU2 x 3.SU2,6.0,-2.0,0.0,-0.1704810158,0.0000000000,-0.3409620316,0,0.668344,0
2.SU2 x 2.SU2 x 2.SU2,USp4 x 4.SU2,6.0,-5.0,-2.0,-0.1323104229,0.3731546893,-0.6377755352,5.04081,0.46505,1
2.SU2 x 2.SU2 x 2.SU2,3.SU2 x 3.SU2,6.0,-6.0,1.5,-0.6403828223,0.0000000000,-1.2807656447,0,0.977237,0
2.SU2 x 2.SU2 x 2.SU2,SU2 x SU2 x 4.SU2,6.0,-6.0,0.0,-0.4444361606,0.0000000000,-0.8888723213,0,0.592243,0
2.SU2 x 2.SU2 x 2.SU2,2.SU2 x 4.SU2,6.0,-8.0,1.5,-0.7234117966,0.0000000000,-1.4468235932,0,0.851138,0
2.SU2 x 2.SU2 x 2.SU2,SU2 x 5.SU2,6.0,-14.0,1.5,-1.0428234602,0.0000000000,-2.0856469205,0,0.679986,0
2.SU2 x 2.SU2 x 2.SU2,6.SU2,6.0,-24.0,3.0,-1.6863995445,0.0000000000,-3.3727990890,0,0.703882,0
SU2 x SU2 x SU2 x 3.SU2,SU2 x 2.SU2 x 3.SU2,6.0,-2.0,1.5,-0.3617068090,0.0000000000,-0.7234136180,0,1.69824,0
SU2 x SU2 x SU2 x 3.SU2,USp4 x 4.SU2,6.0,-5.0,-0.5,-0.3762698367,0.0154702929,-0.7680099663,31.989,0.6346,1
SU2 x SU2 x SU2 x 3.SU2,3.SU2 x 3.SU2,6.0,-6.0,3.0,-0.8431954235,0.0000000000,-1.6863908470,0,1.40443,0
SU2 x SU2 x SU2 x 3.SU2,SU2 x SU2 x 4.SU2,6.0,-6.0,1.5,-0.5614880551,0.0000000000,-1.1229761102,0,0.977237,0
SU2 x SU2 x SU2 x 3.SU2,2.SU2 x 4.SU2,6.0,-8.0,3.0,-0.9036259696,0.0000000000,-1.8072519392,0,1.26619,0
SU2 x SU2 x SU2 x 3.SU2,SU2 x 5.SU2,6.0,-14.0,3.0,-1.1696022236,0.0000000000,-2.3392044472,0,0.912011,0
SU2 x SU2 x SU2 x 3.SU2,6.SU2,6.0,-24.0,4.5,-1.8110756435,0.0000000000,-3.6221512869,0,0.865964,0
SU2 x 2.SU2 x 3.SU2,USp4 x 4.SU2,6.0,-3.0,-2.0,0.0681365400,0.4654867705,-0.3292136906,4.02717,0.384592,1
SU2 x 2.SU2 x 3.SU2,3.SU2 x 3.SU2,6.0,-4.0,1.5,-0.4892667468,0.0000000000,-0.9785334936,0,1.20226,0
SU2 x 2.SU2 x 3.SU2,SU2 x SU2 x 4.SU2,6.0,-4.0,0.0,-0.2757928490,0.0000000000,-0.5515856980,0,0.552713,0
SU2 x 2.SU2 x 3.SU2,2.SU2 x 4.SU2,6.0,-6.0,1.5,-0.5614880551,0.0000000000,-1.1229761102,0,0.977237,0
SU2 x 2.SU2 x 3.SU2,SU2 x 5.SU2,6.0,-12.0,1.5,-0.8724851616,0.0000000000,-1.7449703232,0,0.691831,0
SU2 x 2.SU2 x 3.SU2,6.SU2,6.0,-22.0,3.0,-1.5163209976,0.0000000000,-3.0326419953,0,0.716143,0
USp4 x 4.SU2,3.SU2 x 3.SU2,6.0,-1.0,3.5,-0.6304744822,0.0000000000,-1.2609489643,0,2.39883,0
USp4 x 4.SU2,SU2 x SU2 x 4.SU2,6.0,-1.0,2.0,-0.3195527304,0.0000000000,-0.6391054609,0,2.80221,0
USp4 x 4.SU2,2.SU2 x 4.SU2,6.0,-3.0,3.5,-0.6671115648,0.0000000000,-1.3342231296,0,2.20039,0
USp4 x 4.SU2,SU2 x 5.SU2,6.0,-9.0,3.5,-0.8427565368,0.0000000000,-1.6855130737,0,1.47911,0
USp4 x 4.SU2,6.SU2,6.0,-19.0,5.0,-1.4567509525,0.0000000000,-2.9135019049,0,1.08393,0
3.SU2 x 3.SU2,SU2 x SU2 x 4.SU2,6.0,0.0,-1.5,0.3167888178,0.6335776356,0.0000000000,2.01837,0,0
3.SU2 x 3.SU2,2.SU2 x 4.SU2,6.0,-2.0,0.0,-0.1125849029,0.0000000000,-0.2251698058,0,0.42658,0
3.SU2 x 3.SU2,SU2 x 5.SU2,6.0,-8.0,0.0,-0.4609837934,0.0000000000,-0.9219675869,0,0.46505,0
3.SU2 x 3.SU2,6.SU2,6.0,-18.0,1.5,-1.0851070818,0.0000000000,-2.1702141636,0,0.562341,0
SU2 x SU2 x 4.SU2,2.SU2 x 4.SU2,6.0,-2.0,1.5,-0.3617068090,0.0000000000,-0.7234136180,0,1.69824,0
SU2 x SU2 x 4.SU2,SU2 x 5.SU2,6.0,-8.0,1.5,-0.6096029639,0.0000000000,-1.2192059278,0,0.851138,0
SU2 x SU2 x 4.SU2,6.SU2,6.0,-18.0,3.0,-1.2533666979,0.0000000000,-2.5067333958,0,0.808165,0
2.SU2 x 4.SU2,SU2 x 5.SU2,6.0,-6.0,0.0,-0.3490923677,0.0000000000,-0.6981847355,0,0.481393,0
2.SU2 x 4.SU2,6.SU2,6.0,-16.0,1.5,-0.9785297871,0.0000000000,-1.9570595743,0,0.60256,0
SU2 x 5.SU2,6.SU2,6.0,-10.0,1.5,-0.6446205588,0.0000000000,-1.2892411177,0,0.754223,0
